length , start  , read   , filter , measure , tagging , sort   , end
2, 665, 665, 901, 1089, 1278, 1464, 1652
3, 683, 683, 977, 1326, 1560, 1768, 2754
4, 3417, 3417, 5495, 7340, 8937, 10537, 12134
5, 511, 511, 1032, 1247, 1445, 1645, 1978
6, 415, 415, 645, 842, 1037, 1234, 1426
8, 369, 369, 628, 872, 1120, 1369, 1624
7, 31352, 31352, 31835, 32134, 36990, 37245, 37512
9, 1332, 1332, 1597, 1812, 2425, 2634, 3348
10, 492, 492, 1240, 1438, 5506, 5732, 5931
11, 419, 419, 648, 837, 1031, 1223, 1406
1, 2542, 2542, 4184, 5351, 6553, 7750, 8940
2, 755, 755, 1326, 1543, 2169, 2376, 2590
3, 440, 440, 698, 918, 1116, 1323, 1528
4, 514, 514, 756, 972, 1195, 1404, 1614
5, 440, 440, 674, 869, 1056, 1246, 1436
6, 428, 428, 674, 888, 1103, 1301, 1488
7, 435, 435, 663, 854, 1044, 1244, 1433
8, 1196, 1196, 1460, 1658, 1855, 2056, 2253
9, 259, 259, 483, 675, 860, 1039, 1219
10, 1499, 1499, 1728, 1916, 2099, 2290, 2470
9, 426, 426, 661, 851, 1047, 1244, 1430
8, 481, 481, 740, 954, 1693, 1885, 2074
1, 4119, 4119, 6261, 7884, 9692, 11244, 12786
2, 2473, 2473, 2720, 3071, 3263, 3607, 4959
3, 442, 442, 692, 891, 1098, 1380, 1575
4, 3619, 3619, 6056, 7678, 9220, 10717, 12125
5, 436, 436, 672, 863, 1054, 1253, 1444
6, 296, 296, 545, 774, 968, 1177, 1398
7, 674, 674, 1286, 1697, 1911, 2115, 3306
8, 385, 385, 647, 911, 1187, 1457, 1731
9, 358, 358, 675, 941, 1185, 1426, 1638
10, 811, 811, 1234, 1601, 1819, 2042, 2253
11, 232, 232, 477, 663, 843, 1045, 1225
10, 422, 422, 646, 835, 1016, 1203, 1388
1, 3450, 3450, 5316, 7191, 8711, 10453, 11930
2, 544, 544, 862, 1055, 1250, 2480, 2667
3, 339, 339, 550, 737, 920, 1120, 1306
4, 438, 438, 665, 861, 1057, 1262, 1454
5, 436, 436, 657, 853, 1045, 1241, 1431
6, 3200, 3200, 5245, 7052, 8733, 10373, 11886
7, 438, 438, 661, 856, 1047, 1242, 1433
6, 353, 353, 654, 919, 1176, 1430, 1698
5, 451, 451, 715, 930, 1131, 2108, 2579
4, 3274, 3274, 5114, 6477, 7795, 9061, 10456
3, 821, 821, 1171, 1495, 1780, 2075, 2400
2, 816, 816, 1115, 1398, 1655, 1908, 2148
1, 3198, 3198, 4848, 6201, 7548, 8839, 10000
1, 2775, 2775, 4553, 5925, 7053, 8200, 9512
2, 1931, 1931, 2334, 2840, 3050, 3290, 3515
3, 436, 436, 748, 993, 1201, 1436, 1648
4, 295, 295, 543, 769, 983, 1191, 1430
5, 443, 443, 674, 873, 1059, 1243, 1459
6, 290, 290, 562, 809, 1060, 1299, 1503
7, 329, 329, 631, 841, 1129, 1346, 1568
8, 429, 429, 1371, 1565, 1745, 1961, 2142
9, 335, 335, 552, 761, 946, 1130, 1314
10, 416, 416, 664, 858, 1057, 1250, 1435
11, 421, 421, 646, 841, 1029, 1227, 1408
12, 436, 436, 683, 878, 1076, 1275, 1463
13, 437, 437, 670, 874, 1068, 1278, 1472
14, 421, 421, 641, 835, 1028, 1226, 1411
15, 424, 424, 658, 856, 1044, 1242, 1431
16, 402, 402, 635, 832, 1024, 1227, 1417
17, 441, 441, 662, 852, 1042, 1320, 1504
18, 464, 464, 761, 990, 1197, 13047, 13287
19, 445, 445, 717, 913, 1111, 1311, 1496
20, 425, 425, 656, 850, 1042, 1245, 1433
21, 248, 248, 495, 682, 871, 1042, 1217
22, 211, 211, 395, 585, 767, 950, 1127
23, 191, 191, 413, 595, 770, 948, 1124
1, 840, 840, 1283, 1651, 2048, 2423, 2760
2, 2633, 2633, 4474, 5974, 7150, 8349, 9605
3, 681, 681, 964, 1358, 1572, 1795, 2007
4, 1061, 1061, 1578, 1921, 2185, 2423, 2651
5, 433, 433, 702, 940, 1172, 1403, 1612
6, 830, 830, 1294, 1521, 1755, 2001, 2260
5, 3161, 3161, 5000, 6578, 8110, 9571, 10932
4, 430, 430, 659, 860, 1052, 1257, 1449
3, 577, 577, 868, 1092, 1311, 1533, 1745
1, 3858, 3858, 6050, 12811, 14644, 16042, 17718
2, 609, 609, 880, 1086, 1284, 1491, 1689
3, 477, 477, 709, 908, 1107, 1542, 1735
4, 644, 644, 997, 1775, 1981, 6029, 6287
5, 464, 464, 753, 971, 1187, 1401, 1624
6, 588, 588, 855, 1278, 1481, 1693, 1906
7, 417, 417, 668, 962, 1181, 1398, 1608
8, 437, 437, 695, 896, 1092, 1290, 1481
9, 435, 435, 658, 849, 1039, 1238, 1426
10, 264, 264, 490, 695, 904, 1118, 1359
11, 400, 400, 616, 808, 996, 1191, 1377
12, 334, 334, 602, 839, 1039, 1227, 1429
13, 450, 450, 950, 1246, 1460, 1691, 1937
14, 384, 384, 666, 1283, 1533, 1791, 2077
15, 436, 436, 674, 872, 1072, 1286, 1480
16, 440, 440, 677, 1515, 1714, 1923, 2128
1, 358, 358, 587, 789, 970, 1165, 1347
2, 1302, 1302, 2014, 2262, 2466, 2680, 2883
3, 546, 546, 921, 1171, 1389, 1605, 1823
4, 538, 538, 812, 1039, 1269, 1490, 1709
5, 353, 353, 650, 916, 1173, 1425, 1677
6, 347, 347, 682, 942, 1214, 1437, 1699
7, 434, 434, 683, 881, 1079, 1283, 1472
8, 289, 289, 591, 805, 998, 1203, 1423
9, 2686, 2686, 4112, 5353, 6551, 7817, 9917
10, 1338, 1338, 2268, 3123, 4088, 4921, 5730
11, 408, 408, 658, 866, 1066, 1273, 1473
12, 301, 301, 517, 700, 884, 1069, 1263
13, 322, 322, 553, 812, 1070, 1318, 1529
14, 441, 441, 673, 866, 1056, 1256, 1440
15, 269, 269, 592, 807, 1006, 1226, 1469
16, 232, 232, 434, 628, 820, 1005, 1186
17, 421, 421, 671, 889, 1085, 1283, 1474
18, 571, 571, 835, 1125, 1344, 1567, 1779
19, 530, 530, 822, 1076, 1289, 1487, 1707
20, 424, 424, 754, 987, 1233, 1475, 1717
21, 1327, 1327, 2057, 2299, 3328, 3542, 3761
22, 578, 578, 914, 1366, 1604, 1793, 2013
23, 2506, 2506, 4164, 5358, 6589, 7858, 9036
24, 398, 398, 623, 806, 989, 1176, 1361
25, 426, 426, 653, 840, 1028, 13623, 13857
26, 272, 272, 768, 997, 1213, 1431, 1640
27, 412, 412, 642, 833, 1018, 1213, 1400
1, 573, 573, 2053, 3927, 4130, 4357, 4567
2, 351, 351, 739, 975, 1222, 1469, 1706
3, 658, 658, 1148, 1459, 1671, 1889, 2197
4, 551, 551, 826, 1059, 1298, 1527, 1767
5, 527, 527, 818, 1040, 1275, 1476, 1685
6, 419, 419, 667, 864, 1052, 1252, 1441
7, 3289, 3289, 5292, 6803, 8214, 9622, 10920
8, 488, 488, 1443, 1657, 1861, 2070, 2261
9, 317, 317, 540, 769, 985, 1190, 1391
10, 1104, 1104, 1337, 1536, 1724, 1924, 2120
11, 411, 411, 650, 839, 1027, 1224, 1410
12, 225778, 225778, 226504, 227189, 228002, 228263, 228792
13, 467, 467, 778, 994, 1225, 1442, 1673
14, 323, 323, 591, 863, 1093, 1314, 1537
15, 306, 306, 630, 879, 1138, 1368, 1590
16, 1941, 1941, 2643, 3150, 3444, 3687, 3963
17, 538, 538, 869, 1120, 1338, 1532, 1743
18, 359, 359, 656, 899, 1131, 1367, 1624
19, 385, 385, 602, 853, 1102, 1337, 1573
20, 378, 378, 698, 927, 1186, 1418, 1670
21, 514, 514, 796, 1046, 1301, 1536, 1947
1, 633, 633, 935, 1194, 1485, 1754, 2134
2, 572, 572, 869, 1082, 1288, 1505, 1714
3, 517, 517, 904, 1130, 1337, 1558, 1797
1, 2907, 2907, 4545, 5892, 7151, 8523, 9875
2, 473, 473, 733, 928, 1117, 1735, 1923
3, 435, 435, 670, 1004, 1199, 1705, 1893
4, 435, 435, 674, 865, 1061, 1261, 1453
5, 606, 606, 836, 1037, 1232, 1438, 1627
6, 708, 708, 973, 1375, 1585, 1833, 2081
7, 453, 453, 965, 1165, 1423, 1626, 4193
8, 443, 443, 673, 873, 1079, 1282, 1477
9, 3442, 3442, 5217, 6623, 8003, 9614, 11064
10, 727, 727, 944, 1565, 1757, 2142, 2339
11, 3604, 3604, 5906, 7411, 9042, 10509, 12031
1, 635, 635, 865, 1199, 1412, 1624, 1821
2, 1375, 1375, 2010, 2240, 2452, 2655, 2854
3, 2764, 2764, 4355, 5807, 7033, 8272, 9503
4, 3625, 3625, 5495, 7178, 8947, 10839, 12506
5, 1861, 1861, 2184, 2406, 4003, 4216, 4431
4, 2667, 2667, 4275, 5578, 6917, 8267, 9373
3, 3024, 3024, 5019, 6611, 7980, 9405, 10763
4, 2675, 2675, 4234, 5615, 7034, 8282, 9565
5, 3572, 3572, 5939, 7748, 9386, 11042, 12564
6, 2817, 2817, 4366, 5714, 7067, 8273, 12428
7, 655, 655, 957, 1202, 1447, 1692, 1942
8, 5562, 5562, 6129, 6675, 6941, 7184, 7419
9, 657, 657, 1877, 2094, 2294, 2500, 2702
10, 447, 447, 689, 926, 1160, 1374, 1606
1, 3995, 3995, 6186, 8298, 10061, 11592, 13034
2, 443, 443, 682, 874, 1066, 1257, 1444
3, 478, 478, 748, 957, 1179, 2272, 2465
4, 463, 463, 900, 1105, 1404, 1605, 1799
5, 432, 432, 694, 902, 1099, 1306, 1500
6, 412, 412, 647, 844, 1038, 1239, 1431
7, 397, 397, 639, 836, 1031, 1237, 1430
8, 440, 440, 696, 892, 1083, 1288, 1485
9, 382, 382, 599, 796, 994, 1186, 1366
1, 3059, 3059, 4600, 5975, 7653, 8892, 10128
2, 444, 444, 695, 929, 1128, 1329, 1522
3, 1711, 1711, 3725, 4676, 5081, 5303, 6669
4, 483, 483, 710, 908, 1115, 1384, 1581
5, 466, 466, 709, 913, 1108, 1423, 1647
6, 13876, 13876, 14117, 14344, 14588, 14818, 15030
7, 371, 371, 699, 957, 1183, 1419, 1649
8, 424, 424, 646, 833, 1015, 1198, 1379
9, 432, 432, 952, 1147, 1340, 1533, 1723
10, 579, 579, 849, 1087, 1297, 1514, 1727
11, 3034, 3034, 4811, 5967, 7231, 8333, 9542
12, 831, 831, 1228, 1462, 1683, 1884, 2128
13, 406, 406, 646, 925, 1167, 1399, 2071
14, 671, 671, 1102, 1348, 1580, 1796, 2030
15, 438, 438, 732, 983, 1217, 1467, 1728
16, 364, 364, 619, 1009, 1249, 1481, 1723
17, 685, 685, 933, 1154, 1358, 1619, 1842
18, 563, 563, 1127, 1374, 1576, 1789, 1993
1, 2583, 2583, 4464, 5875, 7141, 8367, 9653
2, 2647, 2647, 4430, 5911, 7355, 8714, 10061
3, 717, 717, 946, 1150, 1354, 1767, 2384
4, 5689, 5689, 6110, 6311, 6502, 6689, 6868
5, 381, 381, 591, 789, 990, 1196, 1393
6, 510, 510, 841, 1119, 1372, 1616, 1848
7, 679, 679, 1041, 2437, 2640, 2845, 3056
8, 870, 870, 1475, 1708, 1939, 2170, 2385
9, 445, 445, 667, 862, 1054, 1256, 1440
10, 392, 392, 625, 821, 1018, 1220, 1412
11, 403, 403, 629, 816, 999, 1193, 1379
12, 439, 439, 710, 921, 1121, 1323, 1511
13, 395, 395, 624, 811, 996, 1188, 1371
14, 266, 266, 469, 1091, 1355, 1541, 1725
15, 435, 435, 657, 846, 1046, 1305, 1486
16, 1772, 1772, 2017, 2202, 2390, 2580, 2764
17, 414, 414, 630, 820, 1008, 1199, 1379
18, 3345, 3345, 5615, 7526, 9320, 11148, 12798
19, 895, 895, 1718, 1903, 2090, 2287, 2473
20, 530, 530, 753, 936, 1123, 1315, 1504
21, 526, 526, 867, 1094, 1306, 1511, 1729
22, 463, 463, 897, 1133, 1370, 1615, 1842
23, 409, 409, 641, 834, 1021, 1212, 1398
24, 449, 449, 681, 887, 1096, 1308, 1503
25, 544, 544, 871, 2607, 2812, 3030, 3235
26, 420, 420, 647, 838, 1021, 1215, 1401
1, 2983, 2983, 4822, 6241, 7539, 8758, 9967
2, 363, 363, 584, 769, 959, 1158, 1394
3, 445, 445, 678, 877, 1073, 1553, 1981
4, 430, 430, 684, 876, 1065, 1267, 1459
5, 439, 439, 836, 1026, 1221, 1408, 1593
6, 568, 568, 769, 960, 1141, 1332, 1513
7, 431, 431, 689, 899, 1100, 1296, 1482
8, 449, 449, 745, 995, 1250, 1509, 1786
9, 404, 404, 640, 1582, 1773, 1965, 2145
10, 264, 264, 510, 702, 894, 1087, 1286
11, 260, 260, 582, 800, 1426, 1654, 1891
12, 415, 415, 660, 842, 1028, 1216, 1391
13, 399, 399, 641, 830, 1012, 1203, 1381
14, 416, 416, 628, 812, 995, 1179, 1355
15, 212, 212, 471, 642, 819, 1549, 1724
16, 195, 195, 375, 554, 726, 900, 1074
17, 542, 542, 805, 1312, 1526, 1758, 1967
18, 419, 419, 688, 881, 1074, 1265, 1455
19, 452, 452, 701, 911, 1111, 1318, 1510
20, 443, 443, 685, 887, 1083, 1295, 1493
21, 453, 453, 686, 891, 1088, 1290, 1487
22, 243, 243, 462, 965, 1166, 1340, 1521
23, 361, 361, 620, 820, 1004, 1214, 1395
24, 232, 232, 421, 651, 825, 1004, 1179
25, 414, 414, 644, 827, 1013, 1209, 1393
26, 292, 292, 485, 671, 850, 1027, 1205
27, 2873, 2873, 4365, 5654, 6942, 8151, 9523
28, 2139, 2139, 3642, 5017, 6473, 7904, 9286
29, 730, 730, 1004, 1252, 1493, 1751, 2000
30, 270, 270, 491, 717, 905, 1089, 1265
31, 202, 202, 416, 600, 786, 964, 1134
32, 213, 213, 412, 593, 779, 959, 1129
1, 585, 585, 1099, 1325, 1550, 1780, 2002
2, 873, 873, 1132, 1524, 1774, 1983, 2349
3, 571, 571, 1790, 2012, 2214, 2417, 2617
4, 1031, 1031, 1431, 1657, 2581, 4175, 4380
5, 625, 625, 873, 1169, 1386, 1596, 1806
6, 360, 360, 1033, 1330, 1771, 1975, 2248
7, 310, 310, 658, 903, 1164, 1422, 1686
8, 320, 320, 582, 809, 1044, 1289, 1521
9, 2481, 2481, 3911, 5029, 6109, 7217, 8262
10, 2698, 2698, 4125, 5673, 6834, 8154, 9426
11, 530, 530, 817, 1047, 1262, 1476, 1678
12, 595, 595, 1263, 1579, 1815, 2057, 2308
13, 599, 599, 900, 1153, 1394, 1643, 1871
14, 622, 622, 934, 1169, 1468, 1676, 1892
15, 429, 429, 653, 852, 1048, 4071, 4268
16, 485, 485, 711, 899, 1082, 1270, 1457
17, 219, 219, 474, 674, 859, 1035, 1226
18, 391, 391, 620, 807, 992, 1181, 1375
19, 1215, 1215, 1735, 1987, 2199, 2390, 2612
20, 960, 960, 1593, 1799, 1991, 2183, 2371
21, 698, 698, 1084, 1811, 2027, 2407, 2723
22, 565, 565, 811, 1029, 1251, 1480, 1702
23, 418, 418, 645, 842, 1037, 1237, 1419
24, 437, 437, 668, 867, 1061, 1263, 1458
25, 366, 366, 639, 886, 1158, 1526, 1740
26, 264, 264, 458, 918, 1117, 1304, 1475
27, 395, 395, 626, 812, 1003, 1208, 1396
28, 325, 325, 664, 977, 1231, 1476, 1703
29, 398, 398, 629, 821, 1015, 1210, 1394
30, 305, 305, 521, 737, 934, 2003, 2210
31, 183, 183, 387, 566, 742, 913, 1090
32, 421, 421, 645, 832, 1018, 1207, 1385
33, 255, 255, 493, 700, 909, 1097, 1315
1, 2792, 2792, 4605, 6033, 7427, 8909, 10269
2, 428, 428, 662, 851, 1040, 1235, 1426
3, 456, 456, 716, 930, 1126, 1328, 2305
4, 438, 438, 684, 872, 1056, 1250, 1436
5, 432, 432, 667, 859, 1054, 1256, 1460
6, 796, 796, 1046, 1236, 1447, 1636, 1823
7, 445, 445, 714, 903, 1091, 1294, 1476
8, 441, 441, 660, 852, 1040, 1241, 1433
9, 505, 505, 830, 1040, 1270, 1518, 1748
10, 495, 495, 804, 1025, 1239, 1440, 1644
11, 482, 482, 750, 980, 1200, 1432, 1641
12, 420, 420, 646, 839, 1024, 1228, 1412
13, 405, 405, 620, 815, 1004, 1201, 1387
14, 437, 437, 660, 851, 1043, 1245, 1434
15, 265, 265, 460, 649, 827, 1466, 1644
16, 395, 395, 620, 804, 985, 1182, 1361
