length , start  , read   , filter , measure , tagging , sort   , end
1, 515, 515, 982, 1273, 1482, 1713, 1936
2, 812, 812, 1131, 1385, 1617, 1836, 2046
3, 405, 405, 637, 831, 1024, 1224, 1414
4, 440, 440, 664, 859, 1053, 1254, 1450
5, 273, 273, 506, 726, 967, 1228, 1505
6, 454, 454, 693, 894, 1086, 1287, 1475
7, 425, 425, 667, 864, 1058, 1268, 1468
8, 438, 438, 665, 866, 1059, 1260, 1448
1, 3152, 3152, 5025, 6339, 7611, 8834, 10266
2, 468, 468, 748, 961, 1142, 1332, 1514
3, 436, 436, 677, 3101, 3303, 3934, 4127
4, 459, 459, 682, 875, 1067, 1276, 1471
5, 522, 522, 871, 1082, 1270, 1455, 1635
6, 555, 555, 933, 1161, 1398, 1619, 1828
7, 3033, 3033, 5247, 6586, 7950, 12761, 14052
8, 427, 427, 664, 859, 1052, 1249, 1441
9, 453, 453, 695, 1255, 1442, 3553, 3760
10, 753, 753, 1026, 1311, 1551, 1813, 2052
1, 3340, 3340, 4998, 6429, 7723, 9025, 10284
2, 546, 546, 824, 1050, 1263, 1471, 1685
3, 576, 576, 859, 1086, 1316, 1577, 1951
4, 529, 529, 1029, 1261, 1468, 1685, 1902
5, 445, 445, 810, 1018, 1241, 1452, 1659
6, 481, 481, 777, 1000, 1426, 1643, 1864
7, 2909, 2909, 4464, 5756, 6967, 8187, 9354
8, 2942, 2942, 4573, 5770, 6908, 8106, 9267
1, 1962, 1962, 2686, 3372, 3867, 4399, 4900
2, 1146, 1146, 2024, 2866, 3562, 4300, 5030
3, 653, 653, 892, 1090, 1284, 1486, 1665
4, 439, 439, 1789, 1988, 2185, 2384, 2573
5, 325, 325, 571, 776, 977, 1194, 1434
6, 431, 431, 702, 896, 1086, 1282, 1570
7, 435, 435, 689, 887, 1077, 1271, 1460
8, 269, 269, 566, 805, 1056, 1288, 1500
9, 437, 437, 658, 846, 1038, 1234, 1421
10, 326, 326, 535, 729, 911, 1093, 1296
11, 263, 263, 717, 915, 1103, 1281, 1458
