length , start  , read   , filter , measure , tagging , sort   , end
2      , 883    , 3169   , 3748   , 3954    , 4151    , 4441   , 4634
3      , 449    , 1133   , 1438   , 1679    , 1900    , 2122   , 2358
4      , 3545   , 6625   , 8339   , 9853    , 11328   , 13136  , 14631
5      , 519    , 1646   , 1981   , 2202    , 2429    , 2651   , 2869
6      , 1380   , 4409   , 5691   , 5896    , 6358    , 6567   , 6761
7      , 621    , 1296   , 1579   , 1813    , 2020    , 2255   , 2471
8      , 395    , 1121   , 1304   , 1488    , 1665    , 1844   , 2078
9      , 326    , 632    , 860    , 1093    , 1287    , 1696   , 1899
10     , 545    , 1406   , 1594   , 1776    , 3505    , 3689   , 3869
11     , 1089   , 1788   , 1973   , 2155    , 2334    , 2521   , 2705
12     , 80500  , 81452  , 81832  , 82084   , 82334   , 82569  , 82795
13     , 535    , 1234   , 1532   , 1756    , 2000    , 2245   , 2457
14     , 421    , 755    , 947    , 1137    , 1322    , 1511   , 1694
15     , 247    , 460    , 639    , 827     , 1009    , 1200   , 1376
16     , 452    , 1213   , 1409   , 1598    , 1786    , 1974   , 2161
17     , 362    , 852    , 1055   , 1259    , 1702    , 1903   , 2089
18     , 281    , 536    , 712    , 888     , 1067    , 1246   , 1428
19     , 556    , 1186   , 1377   , 1565    , 1746    , 1931   , 2109
20     , 674    , 1002   , 1189   , 1366    , 1541    , 1720   , 1900
21     , 263    , 508    , 690    , 880     , 1057    , 1233   , 1413
22     , 476    , 1061   , 1248   , 2022    , 2218    , 2405   , 2587
23     , 279    , 631    , 839    , 1029    , 1231    , 1438   , 1657
24     , 311    , 641    , 839    , 1040    , 1235    , 1448   , 1682
25     , 2903   , 5242   , 6528   , 7708    , 8917    , 10152  , 11658
26     , 427    , 2269   , 2589   , 2770    , 2950    , 3138   , 3319
27     , 427    , 1182   , 1370   , 1553    , 1730    , 1909   , 2088
28     , 834    , 1890   , 2077   , 2260    , 2466    , 2649   , 2832
29     , 621    , 976    , 1155   , 1323    , 1492    , 1684   , 1870
30     , 597    , 1734   , 1919   , 2093    , 2262    , 2453   , 2626
31     , 307    , 814    , 1021   , 1197    , 1366    , 1538   , 1751
32     , 258    , 512    , 694    , 858     , 1021    , 1189   , 1357
33     , 267    , 529    , 700    , 866     , 1049    , 1219   , 1384
1      , 2690   , 4956   , 6118   , 7070    , 8032    , 13664  , 14678
2      , 1958   , 3870   , 4819   , 5651    , 6451    , 7302   , 8128
3      , 447    , 1093   , 1291   , 1480    , 1666    , 1857   , 2041
4      , 441    , 1172   , 1366   , 1556    , 2541    , 2740   , 2928
5      , 343    , 720    , 947    , 1202    , 1434    , 1685   , 1997
6      , 434    , 760    , 952    , 1140    , 1322    , 1510   , 1690
7      , 575    , 1559   , 1882   , 2132    , 2374    , 2603   , 2815
