length , start  , read   , filter , measure , tagging , sort   , end
39, 461, 1487, 1777, 2222, 2463, 2742, 2968
40, 334, 695, 970, 1214, 1457, 1699, 1935
41, 361, 658, 890, 1113, 1365, 1588, 1844
42, 332, 648, 893, 1138, 1371, 1626, 1873
43, 360, 712, 921, 1252, 1530, 1762, 1985
44, 373, 690, 915, 1150, 1403, 1652, 1897
45, 369, 713, 941, 1161, 1384, 1638, 1890
46, 588, 1371, 1571, 2066, 2268, 2472, 2664
47, 532, 1066, 1280, 1485, 1701, 1917, 2271
48, 383, 1019, 1249, 1488, 1731, 1961, 2166
49, 355, 714, 968, 1208, 1452, 1661, 1865
1, 2816, 4829, 5947, 6976, 7983, 9117, 10255
2, 540, 1299, 1516, 1720, 1924, 2149, 2362
3, 519, 1259, 1472, 1687, 1903, 2111, 2311
4, 555, 1424, 1669, 1884, 2118, 2330, 2532
5, 374, 756, 1021, 1252, 1532, 1800, 2052
6, 591, 1570, 1907, 2135, 2349, 2563, 2773
7, 431, 791, 1028, 1250, 1491, 1706, 1931
8, 632, 1532, 1733, 1970, 2176, 2379, 2592
9, 366, 715, 954, 1171, 1397, 1643, 1884
10, 804, 1841, 2075, 2276, 2476, 2677, 2902
11, 638, 1337, 1558, 1798, 2001, 2216, 2421
12, 640, 2222, 2409, 2598, 2784, 2966, 3154
13, 391, 1029, 1214, 1398, 1580, 2400, 2600
14, 643, 1473, 1754, 2001, 2218, 2446, 2677
15, 1163, 3594, 3785, 3972, 4492, 4672, 4862
16, 494, 1458, 1645, 1831, 2013, 2191, 2375
17, 853, 1647, 1883, 2164, 2387, 2597, 2804
18, 540, 1209, 2779, 2965, 3145, 3326, 3513
19, 445, 752, 935, 1117, 1300, 1476, 1661
20, 265, 711, 914, 1110, 1309, 1521, 1741
21, 261, 525, 707, 883, 1059, 1224, 1386
22, 627, 1608, 1795, 2974, 3178, 3366, 3571
23, 505, 1347, 1535, 1717, 1900, 2082, 2267
24, 434, 765, 951, 1134, 1316, 1499, 1686
25, 396, 715, 903, 1085, 1266, 1448, 1635
26, 631, 1737, 2059, 2305, 2528, 2790, 3073
27, 505, 1425, 1617, 1803, 1988, 2167, 2354
28, 317, 821, 1055, 1283, 1493, 1715, 2039
29, 281, 532, 726, 906, 1086, 1271, 1436
30, 211, 434, 630, 815, 992, 1165, 1331
31, 267, 475, 655, 844, 1026, 1191, 1354
30, 520, 1082, 1269, 1456, 1640, 1822, 2006
1, 2322, 4278, 5228, 6064, 6920, 7817, 8623
2, 574, 1453, 1669, 1900, 2128, 2342, 2553
3, 1748, 3766, 5389, 5598, 5804, 6031, 6234
4, 2618, 4822, 5985, 6930, 7947, 91295, 92624
5, 731, 1321, 1550, 1757, 2001, 2234, 2485
6, 467, 777, 981, 1214, 1454, 1703, 1939
7, 248, 474, 699, 928, 1126, 1332, 1543
8, 524, 1487, 1675, 1869, 2060, 2249, 2441
9, 451, 783, 977, 1172, 1360, 1549, 1745
10, 528, 1168, 1355, 1541, 1724, 1902, 2158
11, 920, 3857, 4056, 4246, 4454, 4648, 5087
12, 446, 918, 1111, 1304, 1495, 1685, 1879
13, 339, 782, 1012, 1234, 1488, 1729, 1965
14, 236, 446, 635, 819, 1011, 1196, 1366
15, 621, 1319, 1519, 1718, 1915, 2113, 2312
16, 540, 1348, 1523, 2334, 2945, 3120, 3293
17, 269, 609, 796, 977, 1147, 1320, 1713
18, 269, 516, 713, 905, 1089, 1258, 1435
19, 499, 1106, 1299, 1492, 1684, 1878, 2155
20, 297, 767, 998, 1733, 1955, 2155, 2358
21, 454, 801, 994, 1185, 1376, 1571, 1768
22, 470, 1126, 1343, 1518, 1689, 1860, 2030
23, 237, 666, 883, 1063, 1262, 1448, 1622
24, 454, 765, 963, 1161, 1355, 1544, 1743
25, 436, 1059, 1273, 1457, 1638, 1820, 2003
26, 280, 729, 920, 1102, 1313, 1496, 1693
27, 436, 760, 949, 1143, 1330, 1519, 1707
28, 432, 741, 925, 1105, 1281, 1462, 1645
29, 414, 732, 916, 1103, 1286, 1469, 1660
30, 401, 736, 1038, 1228, 1409, 1587, 1774
31, 449, 764, 961, 1158, 1350, 1538, 1731
32, 453, 828, 1030, 1227, 1420, 1613, 1806
33, 483, 1091, 1279, 1464, 1648, 1832, 2053
1, 3016, 5733, 7117, 8409, 9665, 11001, 12284
2, 618, 1442, 1676, 2256, 2489, 2856, 3092
3, 951, 2686, 3101, 3671, 3886, 4088, 4293
4, 1248, 2618, 3285, 3785, 4285, 5074, 5522
5, 581, 2606, 2798, 2988, 3175, 3368, 3550
6, 2087, 45939, 46719, 46983, 47195, 47466, 47676
7, 579, 1578, 1796, 2008, 2216, 2419, 2639
8, 2785, 5595, 7190, 8482, 9762, 11054, 12454
9, 628, 1341, 1532, 1717, 1900, 2082, 2269
10, 669, 1779, 2029, 2284, 2540, 2984, 3234
11, 1256, 3287, 3608, 3812, 4018, 4252, 4451
12, 2973, 5529, 7148, 8618, 9762, 10949, 12262
1, 1199, 2218, 2840, 3296, 3804, 4241, 4684
2, 2083, 3510, 4085, 5153, 5760, 6412, 6943
3, 3156, 6014, 7459, 8853, 10186, 11573, 12754
1, 571, 1387, 1575, 1767, 1959, 2143, 2337
2, 1172, 3621, 3827, 4062, 4264, 4477, 4676
3, 544, 1206, 1399, 1588, 1777, 1970, 2195
4, 541, 1378, 1585, 1776, 1959, 2142, 2335
5, 480, 1155, 1345, 1528, 1715, 1899, 2092
6, 432, 785, 1008, 1206, 1388, 1571, 1766
7, 559, 1402, 1648, 1877, 2085, 2286, 2489
8, 3144, 5947, 7373, 8725, 10025, 11425, 12656
9, 2593, 4581, 5804, 7004, 8182, 9449, 10596
10, 685, 1225, 1533, 1738, 1952, 2169, 2414
11, 331, 596, 813, 1052, 1250, 1454, 1697
12, 309, 660, 889, 1118, 1329, 1524, 1759
13, 1269, 3192, 3579, 3756, 3986, 4158, 4332
14, 429, 2050, 2358, 2683, 2902, 3552, 3776
15, 1979, 4397, 4612, 4798, 5146, 5351, 5749
16, 497, 1297, 1490, 1691, 1880, 2075, 2272
17, 511, 1009, 1300, 1591, 1842, 2107, 2613
18, 370, 767, 1017, 1246, 1512, 1738, 2003
19, 381, 704, 960, 1224, 1477, 1721, 1973
20, 356, 628, 893, 1130, 1365, 1593, 1859
21, 605, 1419, 1676, 1919, 2116, 2327, 2524
22, 353, 653, 867, 1109, 1335, 1570, 1775
23, 387, 810, 1085, 1331, 1575, 1827, 2054
24, 306, 626, 852, 1076, 1321, 1556, 1787
25, 841, 1161, 1391, 1629, 1857, 2106, 2339
26, 343, 684, 941, 1192, 1757, 2012, 2264
27, 461, 1150, 1336, 1523, 1709, 1889, 2074
28, 452, 901, 1088, 1277, 1465, 1653, 1842
29, 447, 796, 984, 1171, 1358, 1546, 1733
1, 2567, 5352, 6407, 7407, 8420, 9404, 10352
2, 594, 1719, 1943, 2161, 2382, 2589, 2817
3, 650, 1734, 2033, 2308, 2584, 2859, 3110
4, 338, 618, 826, 1031, 1241, 1451, 1642
5, 595, 1598, 1925, 2170, 2416, 2670, 2905
6, 373, 675, 949, 1231, 1485, 1740, 1984
7, 840, 2979, 3184, 3394, 3628, 3848, 4071
8, 560, 1569, 1827, 2148, 2462, 2714, 2952
9, 401, 797, 1056, 1333, 1754, 2007, 2257
10, 684, 1593, 1907, 2193, 2416, 2620, 2815
11, 371, 762, 1002, 1267, 1493, 1716, 1967
12, 427, 835, 1021, 1207, 1389, 1567, 1754
13, 236, 520, 719, 914, 1109, 1290, 1463
14, 521, 1869, 2061, 2253, 2441, 2629, 2822
15, 454, 850, 1046, 1235, 1426, 1614, 1810
16, 246, 526, 709, 894, 1082, 1268, 1438
17, 206, 453, 659, 841, 1031, 1211, 1387
18, 546, 1405, 2862, 3056, 3241, 3421, 3601
19, 196, 416, 616, 796, 981, 1161, 1336
20, 460, 848, 1038, 1231, 1419, 1606, 1802
21, 277, 567, 759, 948, 1144, 1320, 1488
22, 465, 804, 992, 1179, 1363, 1547, 1738
23, 446, 794, 984, 1172, 1361, 1554, 1751
24, 449, 784, 975, 1168, 1360, 1552, 1743
1, 743, 2046, 2314, 2562, 2799, 3024, 3255
2, 898, 2665, 2854, 3045, 3236, 3419, 3600
3, 726, 2134, 2492, 2691, 2956, 3152, 3449
4, 587, 1751, 1941, 2130, 2317, 2503, 2683
5, 628, 1360, 1571, 1780, 1987, 2196, 2400
6, 439, 867, 1102, 1517, 1758, 2043, 2284
7, 728, 1649, 1904, 2127, 2393, 2611, 3103
8, 447, 4175, 4416, 4659, 4877, 5113, 5339
9, 473, 987, 1193, 1395, 1590, 1784, 1973
10, 438, 772, 974, 1169, 1356, 1543, 1737
11, 537, 1455, 1650, 1848, 2037, 2224, 2419
12, 1095, 1787, 2069, 2304, 2572, 2800, 3013
13, 508, 1983, 2172, 2353, 2539, 2733, 2920
14, 338, 793, 1005, 1214, 1428, 1625, 1821
15, 429, 738, 927, 1112, 1295, 1476, 1662
16, 490, 1692, 1875, 2056, 2238, 2420, 2606
17, 322, 597, 921, 1213, 1411, 1623, 1845
18, 443, 773, 955, 1141, 1326, 1501, 1685
19, 606, 1404, 1588, 1772, 1951, 2133, 2339
20, 235, 537, 829, 1014, 1210, 1392, 1580
21, 218, 410, 602, 778, 961, 1132, 1297
22, 183, 383, 566, 741, 931, 1105, 1274
23, 188, 410, 589, 758, 940, 1109, 1275
24, 551, 1323, 1505, 1690, 1870, 2059, 2245
25, 423, 757, 949, 1131, 1313, 1492, 1676
1, 506, 1669, 1852, 2042, 2228, 2411, 2598
2, 604, 1493, 1939, 2180, 2433, 2672, 2910
3, 789, 1367, 1590, 1814, 2044, 2272, 2523
4, 491, 1158, 1350, 1540, 2562, 2750, 2948
5, 461, 912, 1105, 1301, 1488, 1675, 1867
6, 551, 1272, 1464, 1654, 1848, 2030, 2222
7, 445, 913, 1106, 1298, 1486, 1673, 1866
8, 537, 1540, 1736, 1934, 2133, 2324, 2527
9, 443, 953, 1145, 1340, 1531, 1721, 1916
10, 450, 793, 986, 1181, 1374, 1566, 1757
11, 817, 1847, 2045, 2383, 2581, 2789, 2992
12, 264, 570, 749, 925, 1099, 1275, 1450
13, 221, 425, 609, 792, 972, 1142, 1309
14, 195, 378, 564, 752, 931, 1097, 1499
15, 211, 411, 590, 798, 976, 1168, 1333
16, 618, 1596, 1806, 1986, 2163, 2337, 2511
17, 299, 607, 793, 972, 1156, 1356, 1524
18, 185, 412, 596, 779, 976, 1156, 1333
19, 417, 843, 1031, 1220, 1411, 1605, 1796
20, 546, 971, 1195, 1445, 1696, 1941, 2197
21, 401, 739, 977, 1236, 1486, 1726, 1950
22, 499, 1086, 1377, 1597, 1806, 2007, 2209
23, 342, 1071, 1353, 1581, 1805, 2252, 2473
24, 438, 928, 1113, 1299, 1487, 1668, 1856
25, 441, 759, 947, 1136, 1322, 1502, 1690
1, 568, 1503, 1704, 1918, 2205, 2406, 2624
2, 632, 1439, 1664, 1884, 2232, 2464, 2677
3, 1985, 3803, 4724, 5580, 6424, 7302, 8089
4, 532, 1222, 1416, 1608, 1794, 1986, 2177
5, 549, 1547, 1740, 1930, 2122, 2312, 2506
6, 663, 1625, 1831, 2073, 2374, 2599, 2823
7, 373, 837, 1064, 1314, 1543, 1756, 1975
8, 331, 933, 1140, 1340, 1557, 1777, 1994
9, 501, 1322, 1523, 1723, 1926, 2139, 2348
10, 436, 960, 1160, 1352, 1539, 1720, 1909
11, 203, 503, 678, 862, 1042, 1214, 1377
12, 505, 1276, 1461, 1648, 1834, 2015, 2195
13, 319, 650, 841, 1030, 1233, 1437, 1619
14, 313, 587, 770, 950, 1128, 1296, 1458
1, 2825, 5431, 6967, 8281, 9645, 11015, 12184
2, 524, 1067, 1259, 1456, 1645, 1831, 2025
3, 2762, 5451, 6879, 8037, 9159, 10396, 11656
4, 2028, 3873, 5284, 6591, 7808, 9725, 10882
5, 1479, 3180, 3385, 3576, 3760, 4254, 4443
6, 2770, 5515, 7012, 8259, 12879, 14126, 15373
7, 567, 1171, 1361, 1547, 1737, 1920, 2112
8, 2959, 5614, 7139, 8472, 9721, 11062, 12431
9, 518, 1081, 1285, 1477, 1665, 1858, 2052
10, 448, 1381, 1564, 1748, 1932, 2146, 2327
11, 598, 1290, 1590, 1827, 2048, 2264, 2467
12, 702, 1544, 1780, 2037, 2256, 2486, 2692
13, 425, 1437, 1698, 1918, 2148, 2370, 2589
1, 3187, 5831, 7289, 8411, 10512, 11554, 12637
2, 700, 1421, 1638, 1841, 2047, 2262, 2463
3, 3064, 5923, 7300, 8601, 9845, 11342, 12720
4, 1204, 3774, 3968, 4161, 4350, 4542, 4731
5, 1343, 3296, 3539, 3743, 3948, 4149, 4346
6, 811, 3715, 3923, 4133, 4356, 14260, 16789
7, 646, 1641, 2395, 2644, 2849, 3096, 3590
8, 509, 1448, 1640, 1947, 2131, 2316, 2505
9, 447, 785, 976, 1165, 1352, 1544, 1910
10, 1029, 1941, 2126, 2306, 2488, 2666, 2850
11, 591, 1482, 1666, 1847, 2028, 2214, 2401
12, 421, 725, 912, 1098, 1278, 1459, 1644
13, 245, 450, 632, 806, 987, 1172, 1343
14, 216, 436, 632, 814, 995, 1170, 1346
15, 482, 1479, 1668, 1859, 2045, 2231, 2412
16, 305, 689, 912, 1117, 1426, 1645, 1878
17, 212, 437, 641, 823, 1011, 1209, 1388
18, 223, 432, 620, 795, 975, 1151, 1323
19, 452, 805, 1002, 1189, 1372, 1562, 1752
20, 405, 693, 1141, 1333, 1518, 1709, 1897
21, 527, 1293, 1480, 1820, 2009, 2188, 2375
22, 484, 1038, 1230, 1418, 1606, 1786, 1976
23, 544, 1537, 1725, 1910, 2092, 2270, 2456
24, 445, 792, 986, 1177, 1366, 1553, 1747
25, 240, 457, 635, 815, 998, 1180, 1355
26, 201, 395, 571, 749, 929, 1097, 1266
27, 773, 1409, 1679, 1909, 2137, 2367, 2604
28, 371, 814, 1006, 1216, 1427, 1641, 1845
29, 363, 703, 950, 1170, 1413, 1660, 1889
30, 387, 662, 858, 1102, 1342, 1548, 1792
1, 2401, 4646, 5991, 7443, 8456, 9469, 10666
2, 667, 1796, 2314, 2528, 2741, 2955, 3163
3, 1831, 3693, 3930, 4154, 4365, 4711, 4933
4, 520, 1180, 1406, 1653, 1881, 2243, 2457
5, 527, 1318, 1683, 1892, 2100, 2349, 2567
6, 347, 989, 1250, 1478, 1719, 1976, 2236
7, 1739, 2508, 2850, 3056, 3988, 4210, 4424
8, 541, 1225, 1407, 1592, 1773, 1958, 2145
9, 270, 618, 817, 1023, 1239, 1468, 1675
10, 524, 902, 1149, 1409, 1683, 1954, 2222
11, 359, 636, 883, 1140, 1394, 1604, 1803
12, 496, 1164, 2338, 2534, 2718, 2900, 3089
13, 412, 755, 941, 1125, 1306, 1490, 1675
14, 633, 2700, 2884, 3063, 3236, 4853, 5045
15, 585, 1528, 1733, 1928, 2112, 2299, 2485
16, 528, 1164, 1343, 1527, 1706, 1886, 2074
17, 450, 832, 1015, 1197, 1380, 2284, 2472
18, 487, 925, 1211, 1458, 1719, 1942, 2195
19, 811, 1665, 1849, 2037, 2220, 2403, 2590
20, 438, 762, 948, 1132, 1318, 1499, 1691
21, 440, 748, 934, 1121, 1308, 1492, 1684
22, 536, 1258, 1449, 1640, 1826, 2019, 2207
23, 334, 664, 948, 1178, 1381, 1570, 1758
24, 490, 836, 1022, 1210, 1399, 1582, 1782
25, 675, 1520, 1704, 1893, 2078, 2256, 2528
26, 428, 729, 916, 1102, 1283, 1466, 1654
27, 444, 739, 928, 1120, 1303, 1483, 1671
28, 224, 429, 609, 785, 967, 1139, 1313
1, 2632, 4758, 5900, 6956, 8036, 9078, 10239
2, 792, 1830, 2023, 2209, 2400, 2587, 2775
3, 510, 1179, 1371, 1564, 1756, 1945, 2132
4, 665, 2358, 2551, 2742, 3299, 3491, 3680
5, 533, 1611, 1793, 2031, 2213, 2394, 2570
6, 507, 1107, 1294, 1477, 1658, 2359, 2558
7, 522, 2375, 2573, 2770, 2961, 3463, 3654
8, 491, 1361, 1546, 1733, 1914, 2096, 2282
9, 317, 706, 928, 1134, 1345, 1544, 1746
10, 325, 702, 943, 1163, 1412, 1660, 2044
11, 481, 1306, 1496, 1688, 1876, 2066, 2253
12, 1443, 1794, 1992, 2190, 2373, 2559, 2753
13, 436, 791, 979, 1168, 1358, 1538, 1728
14, 504, 1105, 1291, 1479, 1662, 1848, 2075
1, 3367, 6219, 7775, 9320, 10626, 12136, 13656
2, 2530, 4002, 4221, 4422, 4621, 4813, 5071
3, 943, 2442, 2701, 2955, 3198, 3453, 3698
4, 1218, 3863, 4107, 4341, 4581, 4794, 5008
5, 489, 1537, 1788, 2026, 2246, 2489, 2715
6, 513, 1200, 1405, 1619, 1847, 2067, 2288
7, 625, 1045, 1479, 1761, 2034, 2292, 2641
8, 299, 798, 1043, 1291, 1535, 1793, 2052
9, 575, 1324, 1536, 1745, 2011, 2222, 2426
10, 395, 935, 1171, 1425, 2150, 2396, 2628
11, 352, 695, 965, 1214, 1452, 1698, 1929
12, 347, 711, 971, 1238, 1498, 1756, 1986
13, 3203, 5662, 7110, 8260, 9459, 10618, 11996
14, 2234, 4500, 5756, 236979, 238723, 239882, 244946
15, 613, 1202, 1466, 1699, 1934, 2162, 2407
16, 386, 749, 1010, 1249, 1495, 1766, 2010
17, 418, 771, 999, 1252, 1518, 1762, 1986
18, 327, 636, 838, 1032, 1231, 1444, 1752
19, 340, 684, 925, 1174, 1440, 1688, 1951
20, 1197, 2541, 2726, 2914, 3102, 3285, 3505
21, 406, 1092, 1278, 1470, 1651, 1832, 2019
1, 638, 1317, 1503, 1687, 1864, 2047, 2232
2, 683, 3216, 3406, 3597, 3785, 3974, 4164
3, 516, 973, 1165, 1358, 1550, 1737, 1931
4, 521, 1550, 1745, 1941, 2135, 2327, 2525
5, 567, 1154, 1383, 1613, 1832, 2065, 2271
6, 382, 830, 1071, 1295, 1521, 1741, 1962
7, 664, 944, 1156, 1389, 1628, 1859, 2067
8, 641, 1569, 1750, 1933, 2116, 2308, 2494
9, 292, 731, 940, 1135, 1351, 1564, 1766
10, 508, 1317, 1524, 1713, 1900, 2082, 2269
1, 635, 1277, 1472, 1667, 1859, 2047, 2239
2, 1220, 5639, 5850, 6054, 6395, 6598, 6797
3, 571, 1278, 1481, 1675, 1862, 2053, 2249
4, 443, 834, 1025, 1218, 1408, 1597, 1788
5, 454, 802, 998, 1185, 1376, 1560, 1754
6, 514, 1038, 1229, 1421, 1608, 1790, 1985
7, 522, 1319, 1512, 1698, 1885, 2073, 2267
8, 503, 1037, 1230, 1443, 1628, 1817, 2009
9, 359, 812, 1089, 1308, 1511, 1726, 1942
10, 273, 785, 971, 1156, 1337, 1513, 1685
11, 491, 1028, 1234, 1444, 1653, 1857, 2055
12, 557, 1086, 1340, 1566, 1827, 2055, 2308
13, 389, 715, 934, 1173, 1396, 1646, 1894
14, 410, 727, 965, 1195, 1445, 1677, 1909
15, 546, 1111, 1315, 1514, 1719, 1921, 2137
16, 451, 878, 1111, 1360, 1600, 1846, 2203
17, 337, 631, 893, 1137, 1400, 1641, 1854
18, 368, 661, 899, 1112, 1358, 1592, 1834
19, 583, 1231, 1563, 1781, 2022, 2245, 2485
20, 570, 1131, 1733, 1941, 2153, 2371, 2574
21, 582, 1186, 1425, 1674, 1931, 2179, 2440
22, 719, 1097, 1331, 1560, 1788, 2041, 2260
23, 386, 767, 995, 1202, 1457, 1671, 1904
24, 351, 705, 964, 1186, 1414, 1670, 1903
25, 347, 685, 911, 1147, 1381, 1655, 1892
26, 378, 720, 936, 1187, 1407, 1660, 1899
27, 768, 40504, 41085, 41311, 41608, 41834, 42074
28, 467, 1343, 1647, 1870, 2123, 2345, 2585
29, 363, 690, 883, 1104, 1342, 1599, 1823
30, 324, 662, 860, 1083, 1334, 1570, 1782
31, 495, 1000, 1187, 1375, 1558, 1743, 1930
1, 2074, 3611, 4605, 5326, 6128, 6920, 7732
2, 1834, 3813, 5188, 5882, 6799, 7615, 8410
3, 510, 1266, 1468, 1663, 1849, 2036, 2228
4, 455, 834, 1027, 1226, 1418, 1611, 1803
5, 550, 2628, 2809, 2992, 3176, 3356, 3543
6, 313, 672, 924, 1167, 1429, 1686, 1911
7, 664, 1580, 1761, 1947, 2133, 2311, 2497
8, 427, 742, 929, 1117, 1300, 1482, 1667
9, 438, 744, 933, 1116, 1298, 1482, 1671
10, 251, 461, 646, 822, 1009, 1189, 1355
11, 476, 1324, 1508, 1692, 1879, 2059, 2247
12, 1300, 1659, 1848, 2036, 2221, 2403, 2593
13, 233, 569, 741, 921, 1102, 1277, 1447
14, 172, 379, 558, 733, 909, 1081, 1247
15, 506, 1622, 1811, 1996, 2181, 2366, 2556
16, 437, 752, 937, 1124, 1306, 1485, 1670
17, 612, 1735, 1920, 2105, 2289, 2471, 2661
18, 339, 678, 918, 1128, 1325, 1543, 1741
19, 438, 762, 951, 1140, 1326, 1514, 1704
20, 640, 1809, 2029, 2244, 2439, 2662, 2860
21, 453, 831, 1016, 1203, 1384, 1558, 1745
22, 602, 1386, 1577, 1762, 1947, 2122, 2310
23, 913, 3738, 3932, 4127, 4317, 4508, 4702
24, 445, 768, 964, 1157, 1349, 1542, 1734
25, 576, 1667, 3550, 3758, 3962, 4167, 4367
26, 228, 455, 667, 845, 1040, 1562, 1737
27, 215, 471, 652, 834, 1030, 1216, 1405
28, 171, 374, 567, 753, 956, 1137, 1313
29, 472, 818, 1022, 1214, 1408, 1598, 1791
30, 553, 1425, 1613, 1801, 1982, 2162, 2338
31, 262, 510, 952, 1139, 1320, 1503, 1684
32, 339, 635, 864, 1073, 1284, 1530, 1757
33, 254, 522, 715, 907, 1088, 1273, 1453
1, 519, 877, 1068, 1255, 1443, 1633, 1825
2, 289, 540, 772, 980, 1188, 1413, 1606
3, 3250, 6226, 7862, 9190, 11084, 12327, 13524
4, 642, 1788, 2585, 2814, 3040, 3625, 3840
5, 524, 1679, 1874, 2061, 2246, 2433, 2623
6, 512, 1030, 1223, 1408, 1597, 1781, 1976
7, 546, 1161, 1352, 1544, 1729, 1921, 2112
8, 511, 1146, 1362, 1571, 1761, 1947, 2139
7, 1532, 3117, 3762, 4327, 4868, 5421, 6450
6, 4929, 5661, 5855, 6079, 6269, 6500, 6691
1, 2878, 5636, 7045, 8417, 9765, 11084, 12334
2, 1282, 2812, 3004, 3191, 3377, 3565, 3756
3, 560, 2904, 3096, 3287, 4185, 4369, 4559
4, 899, 1900, 2482, 2785, 3098, 3443, 3756
5, 7095, 9786, 11111, 12284, 13384, 14664, 15837
6, 539, 1173, 1364, 1555, 1743, 1935, 2126
