length , start  , read   , filter , measure , tagging , sort   , end
2, 828, 4915, 5126, 5323, 5600, 5823, 6023
3, 1450, 2857, 3062, 3275, 3556, 3768, 3986
4, 3856, 7351, 9062, 10751, 12182, 13709, 15318
5, 4037, 7179, 7631, 8013, 8308, 8814, 9018
6, 1787, 4009, 4198, 4388, 4581, 4935, 5131
7, 1025, 4305, 4560, 4787, 5835, 6046, 6257
8, 589, 1875, 2197, 2428, 2659, 2904, 3160
9, 435, 797, 1046, 1303, 1568, 1804, 2068
10, 539, 1110, 1298, 1490, 2883, 3077, 3275
11, 869, 2040, 2301, 2484, 2830, 3017, 5606
12, 490, 1061, 1245, 1430, 2096, 2296, 2483
13, 819, 2372, 2561, 2747, 2930, 3121, 3314
14, 1037, 3149, 3394, 3573, 3757, 3933, 4108
15, 813, 1453, 1638, 1824, 2006, 2186, 2373
16, 128081, 128930, 129228, 129468, 129711, 130023, 130257
17, 1988, 3888, 7381, 7573, 7762, 8312, 8502
18, 854, 2482, 2681, 2866, 3044, 3224, 3402
19, 626, 1355, 1565, 1776, 1988, 2190, 2397
20, 308, 622, 855, 1055, 1256, 1479, 1697
21, 456, 809, 1003, 1197, 1391, 1582, 1779
22, 612, 1218, 1410, 1600, 1784, 1966, 2148
23, 644, 2588, 2772, 2956, 3141, 3344, 3518
24, 423, 1213, 1414, 1596, 1774, 1952, 2117
25, 218, 463, 648, 841, 1030, 1205, 1377
26, 1299, 2124, 2343, 2548, 2786, 2996, 3202
28, 338, 1471, 1685, 1891, 2117, 3112, 3374
27, 27691, 28002, 28218, 28462, 28696, 28896, 29107
29, 2690, 5000, 6153, 7222, 8237, 9227, 10223
30, 471, 1494, 1678, 1864, 2045, 2230, 2414
31, 627, 1439, 1623, 1804, 1986, 2171, 2357
32, 564, 1209, 1398, 1590, 1776, 1959, 2148
33, 424, 797, 984, 1170, 1354, 1537, 1723
34, 1525, 2445, 2667, 2891, 3110, 3341, 3555
35, 533, 1226, 1434, 1636, 1845, 2042, 2239
36, 438, 868, 1061, 1248, 1436, 1625, 1819
37, 415, 760, 943, 1130, 1318, 1502, 1697
38, 812, 1915, 2106, 2294, 2481, 2670, 4028
39, 310, 635, 850, 1075, 1295, 1498, 1686
40, 444, 750, 938, 1125, 1310, 1494, 1682
41, 2253, 4318, 5260, 6104, 7114, 7990, 8852
42, 710, 2029, 2404, 2659, 2893, 3115, 3340
43, 753, 1456, 1766, 2009, 2243, 2495, 2746
44, 637, 1684, 1870, 2056, 2244, 2435, 2624
45, 2035, 5535, 6433, 7473, 8539, 9464, 10541
46, 2179, 4039, 5031, 5959, 6885, 7775, 8659
1, 57734, 61437, 62990, 64354, 65710, 67104, 68404
2, 2152, 4396, 4713, 4939, 5151, 5361, 5602
3, 891, 2704, 2996, 3357, 3667, 3912, 4159
4, 1563, 2943, 3609, 4154, 4724, 5746, 6439
5, 685, 1390, 1626, 1855, 2073, 2284, 2499
6, 609, 1372, 1570, 1761, 1951, 2280, 2471
1, 1582, 2817, 3437, 4072, 4658, 5230, 5819
2, 786, 2936, 3125, 3318, 3646, 3832, 4096
3, 3339, 6097, 7513, 8799, 10091, 11373, 12728
4, 1780, 3753, 3940, 4135, 4507, 4697, 4905
5, 555, 2070, 2259, 2448, 2637, 2826, 3553
6, 592, 1327, 1574, 1824, 2051, 2368, 2624
7, 557, 1248, 1436, 1620, 1800, 1979, 2159
8, 327, 629, 852, 1084, 1305, 18251, 18487
9, 481, 1080, 1274, 1467, 1661, 1849, 2041
10, 582, 1373, 1557, 1745, 1927, 2100, 2284
11, 335, 824, 1095, 1322, 1588, 1845, 2060
12, 545, 1391, 1585, 1785, 1969, 2161, 2353
13, 300, 594, 815, 1036, 1243, 1454, 1675
14, 515, 2793, 2977, 3160, 3341, 3523, 3698
15, 272, 562, 796, 990, 1203, 1413, 1619
16, 284, 603, 788, 969, 1148, 1351, 1529
17, 261, 505, 699, 878, 1083, 1258, 1424
18, 219, 454, 626, 815, 991, 1157, 1318
19, 208, 450, 627, 814, 994, 1163, 1490
20, 485, 1168, 1356, 1543, 1733, 1921, 2112
21, 334, 738, 969, 1171, 1365, 1565, 1748
22, 1001, 3588, 3794, 4005, 4209, 4760, 4940
23, 357, 1005, 1192, 1651, 1841, 2017, 2180
24, 241, 489, 698, 892, 1083, 1264, 1434
25, 489, 1838, 2046, 2226, 2400, 2582, 2809
26, 442, 809, 993, 1180, 1359, 1533, 1716
27, 304, 647, 888, 1105, 1331, 1547, 1763
28, 229, 457, 640, 821, 999, 1170, 1334
29, 245, 480, 655, 862, 1035, 1201, 1367
30, 542, 1324, 1509, 1692, 1876, 2240, 2413
31, 434, 814, 1001, 1185, 1366, 1548, 1739
32, 441, 1202, 1444, 1688, 1921, 2152, 2384
33, 351, 698, 935, 1153, 1388, 1632, 1875
34, 356, 718, 937, 1149, 1402, 1646, 1905
35, 345, 657, 867, 1080, 1325, 1578, 1814
36, 336, 642, 870, 1082, 1285, 1505, 1759
37, 379, 710, 928, 1144, 1357, 1601, 1925
38, 640, 3932, 4139, 4394, 4591, 4802, 5689
