Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
search_alone/1,6.244481891916387e-2,5.933160542179468e-2,6.411710957559495e-2,4.853098724921209e-3,3.2920063981777955e-3,7.260552710175274e-3
search_alone/2,7.762995017240433e-2,7.49155575882978e-2,7.961701208292589e-2,4.160011756305209e-3,3.2391257392077907e-3,5.349169500358592e-3
search_alone/3,9.172455034147363e-2,8.872983811319313e-2,9.395028325811e-2,4.840412309086459e-3,2.9954191238358847e-3,7.282089558686632e-3
search_alone/4,0.10751252011604819,0.10349692956011552,0.11010386064205648,5.6599992334869405e-3,3.7103444199143784e-3,8.052675412359458e-3
search_alone/5,0.12132156413078668,0.11660843783031524,0.12397949850590569,5.735532196174566e-3,4.055955252847301e-3,8.136867302696764e-3
search_alone/6,0.1373218578276841,0.13366981956348656,0.1401060525242515,5.194178602438501e-3,3.8918796112047908e-3,7.143157127220801e-3
search_alone/7,0.14981455158817594,0.14516238796073866,0.15297550110281413,6.472191715834486e-3,3.2209368983960106e-3,9.956391633348301e-3
search_alone/8,0.1660901437541368,0.1626684314457227,0.16968936582810323,5.444922674819977e-3,3.3087634707202624e-3,7.40693614413163e-3
search_alone/9,0.1794260769095994,0.17496616732420686,0.18269218016502037,5.383126320683722e-3,3.2928803788736093e-3,8.17447836855069e-3
search_alone/11,0.20615172886025793,0.20237471127120013,0.20965536677161126,5.882288453362101e-3,4.573015194291217e-3,7.146817093984086e-3
search_alone/13,0.23573304000023573,0.22930037980567294,0.2399367966726554,7.698158947921196e-3,4.461068703817097e-3,1.0681229085007668e-2
search_alone/15,0.2654391521965313,0.26045021234798094,0.2682418550278748,5.422572922117767e-3,2.7643150774986215e-3,8.129442287786698e-3
search_alone/17,0.2986236832493287,0.2912707396211287,0.3043627250892002,8.791497913449775e-3,5.249675223381924e-3,1.2460437222203647e-2
search_alone/19,0.32901267029976194,0.32458883542518985,0.33399914247006235,6.535494268037907e-3,3.80636682067919e-3,9.357997734448922e-3
search_alone/17 b,0.30380958208336706,0.29851275516251113,0.30676731526997636,5.444708070068964e-3,2.627571705975884e-3,7.995498609285327e-3
search_alone/19 b,0.3301457906717059,0.3272138010222642,0.33376309707157487,4.336958472842401e-3,3.0424149443901323e-3,5.45782916649949e-3
search_with_filter/1,1.2629915016180463e-2,1.2000415676961673e-2,1.2986725416015402e-2,1.334042323301613e-3,9.543492381068972e-4,1.897883764878453e-3
search_with_filter/2,1.4990448100818026e-2,1.40980369683364e-2,1.551054911709773e-2,1.7623662854627802e-3,1.1968879805081343e-3,2.69214801378474e-3
search_with_filter/3,1.7377025855011215e-2,1.638607218245658e-2,1.813945921310101e-2,2.2737339888539917e-3,1.455824455673366e-3,3.325492630196135e-3
search_with_filter/4,2.0231435168096282e-2,1.9094355896710487e-2,2.091207165633188e-2,2.1810442364486684e-3,1.3913890068864723e-3,2.967737173697173e-3
search_with_filter/5,2.272605780765661e-2,2.1637257703813004e-2,2.3425230393218966e-2,2.2749409608124145e-3,1.5507039434183667e-3,3.5450542720442406e-3
search_with_filter/6,2.5187127170792734e-2,2.3998558395913784e-2,2.6059381680068036e-2,2.389877628864584e-3,1.4514110894002822e-3,3.456876019184983e-3
search_with_filter/7,2.7329843554735778e-2,2.5224090229725923e-2,2.8466288375535498e-2,3.5560756162956904e-3,2.1607451186672e-3,5.7349549003780425e-3
search_with_filter/8,2.981575064914716e-2,2.7758382383120367e-2,3.0989654493736654e-2,3.558589181098872e-3,2.0150809929070056e-3,5.624703737576979e-3
search_with_filter/9,3.216754188102895e-2,2.9533574036443022e-2,3.336196737006661e-2,3.713043107637706e-3,2.214325534971016e-3,6.550229515648925e-3
