length , start  , read   , filter , measure , tagging , sort   , end
8, 488, 1014, 1248, 1492, 1733, 2002, 2264
9, 1720, 3371, 3837, 4084, 4294, 4508, 4708
10, 558, 1433, 14257, 14585, 14824, 15072, 15350
11, 415, 904, 1161, 1406, 1625, 1876, 2142
12, 648, 4141, 4672, 4885, 5096, 5303, 5505
13, 669, 1665, 1953, 2168, 2435, 2648, 2884
1, 810, 1700, 2025, 2302, 2571, 2850, 3123
2, 1458, 3826, 4066, 4285, 4496, 4874, 5534
3, 1276, 2170, 2652, 2855, 3083, 3297, 3500
4, 694, 1969, 2296, 2539, 2794, 3076, 3347
5, 399, 807, 1044, 1271, 1495, 1720, 1942
6, 719, 2403, 2597, 2794, 2989, 3181, 3381
7, 520, 1143, 1337, 1527, 1719, 1920, 2122
8, 623, 2198, 2391, 2582, 2768, 3029, 3232
9, 1109, 1952, 2218, 2485, 2734, 3827, 4081
10, 251, 588, 844, 1091, 1319, 1528, 1722
11, 733, 1119, 1359, 1593, 1807, 2035, 2267
12, 915, 1897, 2083, 2366, 2549, 2729, 2921
13, 558, 1279, 1470, 1650, 1836, 2018, 2215
1, 3092, 5750, 7111, 8430, 9891, 11236, 12591
2, 2987, 5415, 6875, 8097, 9325, 10466, 11633
3, 564, 1787, 1982, 2179, 3178, 3368, 3565
4, 607, 1375, 1557, 1745, 1922, 2098, 2268
5, 433, 754, 948, 1143, 1335, 1518, 1715
6, 533, 958, 1226, 1489, 1758, 2013, 2250
7, 550, 1211, 1420, 1620, 1828, 2036, 2233
8, 1514, 2804, 3441, 4076, 4716, 5321, 5930
9, 527, 1372, 1566, 1757, 1949, 2136, 2338
10, 474, 775, 964, 1160, 1344, 1534, 1736
11, 467, 762, 957, 1149, 1341, 1528, 1724
12, 499, 1544, 1728, 1912, 2094, 2280, 2513
13, 428, 724, 915, 1102, 1294, 1479, 1673
1, 1776, 3116, 3708, 4340, 4884, 5459, 6074
2, 1766, 3389, 4498, 4704, 4908, 5120, 6327
3, 841, 3722, 4354, 4565, 4792, 4995, 5197
4, 895, 1786, 2023, 2250, 2469, 2687, 2893
5, 753, 1567, 1914, 2255, 2922, 3125, 3330
6, 3356, 6342, 7736, 9061, 10289, 11539, 12766
7, 778, 2646, 2833, 3017, 3204, 3839, 4030
8, 615, 1235, 1432, 1627, 1823, 2011, 2214
9, 501, 1372, 1568, 1762, 1955, 2148, 2353
10, 576, 1415, 1610, 1803, 1995, 2191, 2396
11, 484, 1179, 1813, 2002, 2184, 2375, 2579
12, 706, 1431, 1638, 1850, 2342, 2535, 2763
1, 3131, 5863, 7392, 8708, 9933, 11193, 12559
2, 712, 1788, 1977, 2167, 2357, 2540, 2737
3, 619, 1435, 1642, 1834, 2026, 2214, 2481
4, 1000, 1885, 2225, 2557, 2802, 3062, 3334
5, 392, 1204, 1436, 1650, 1847, 2053, 2286
6, 239, 480, 664, 855, 1030, 1206, 1420
7, 220, 420, 603, 797, 974, 1167, 1355
1, 814, 1637, 2012, 2231, 2652, 2862, 3086
2, 2413, 4377, 5469, 6555, 7517, 8430, 9446
3, 3213, 5921, 7290, 8651, 9907, 11051, 12192
4, 526, 1104, 1348, 1555, 1786, 2002, 2222
5, 3158, 6041, 7449, 8772, 10132, 11498, 12865
1, 3764, 7172, 9153, 10778, 12364, 14224, 15749
2, 535, 2741, 2934, 3118, 3440, 3624, 3821
3, 873, 1834, 2211, 2530, 3193, 3461, 3732
4, 3015, 5580, 7006, 8262, 9662, 11056, 12323
5, 683, 1236, 1429, 1619, 1811, 2002, 2209
6, 594, 2172, 2366, 2553, 2748, 2938, 3139
7, 562, 1739, 1928, 2114, 2300, 2486, 2683
1, 3883, 7433, 9246, 10901, 12584, 14215, 15884
2, 934, 2527, 2723, 2917, 3109, 3302, 3503
3, 684, 1473, 1712, 1970, 2311, 2532, 2747
4, 917, 1900, 2446, 2815, 3187, 3553, 3948
5, 638, 1831, 2023, 2209, 2396, 2585, 2784
6, 674, 1605, 1801, 1998, 2189, 2377, 2580
7, 613, 1257, 1449, 1640, 1831, 2020, 2221
8, 3738, 7019, 8588, 10196, 11857, 13440, 15189
9, 491, 2896, 3115, 3325, 3530, 3743, 3953
10, 642, 1383, 1694, 1942, 2159, 2389, 2629
11, 1554, 3929, 4136, 4378, 4697, 4902, 5236
12, 670, 1744, 1965, 2173, 2382, 2598, 3033
13, 617, 1357, 1551, 1729, 1905, 2076, 2253
14, 2746, 5864, 6109, 6298, 6473, 6648, 6855
15, 666, 1413, 1874, 2120, 2336, 2567, 2945
1, 3583, 6475, 7933, 9281, 10564, 11874, 13257
2, 3294, 5941, 7640, 9193, 10473, 11865, 13217
3, 773, 2527, 2718, 2912, 3101, 3285, 3486
4, 849, 2376, 2570, 2765, 2954, 3140, 3337
5, 938, 3063, 3250, 3438, 3621, 3915, 4520
6, 552, 1153, 1349, 1543, 1736, 1926, 2130
7, 550, 1182, 1403, 1595, 1783, 1970, 2172
8, 359, 969, 1146, 1337, 1514, 1689, 1878
9, 487, 1119, 1614, 1809, 1997, 2186, 2388
10, 481, 1141, 1330, 1518, 1698, 1877, 2066
11, 560, 1417, 1613, 1806, 1996, 2184, 2384
12, 317, 812, 1039, 1253, 2516, 2740, 2943
