length , start  , read   , filter , measure , tagging , sort   , end
17, 485, 485, 722, 954, 1161, 1361, 1551
18, 530, 530, 823, 1074, 1386, 1651, 1892
19, 314, 314, 571, 805, 1050, 1273, 1519
20, 321, 321, 541, 788, 1012, 1459, 1704
21, 277, 277, 511, 750, 970, 1178, 1407
22, 510, 510, 811, 1063, 1315, 1593, 1847
23, 429, 429, 671, 856, 1042, 1222, 1402
24, 409, 409, 628, 813, 1000, 1188, 1366
25, 397, 397, 617, 806, 995, 1178, 1357
26, 268, 268, 555, 750, 937, 1214, 1416
27, 433, 433, 640, 827, 1017, 1205, 1389
28, 297, 297, 546, 760, 980, 1171, 1367
29, 424, 424, 635, 822, 1007, 1189, 1371
1, 360232, 360232, 362407, 363843, 364890, 365907, 366952
2, 445, 445, 656, 841, 1026, 1460, 1642
3, 440, 440, 662, 850, 1039, 1228, 1409
4, 443, 443, 681, 873, 1065, 1770, 1954
5, 464, 464, 729, 922, 1117, 1308, 1521
6, 408, 408, 633, 825, 1015, 1201, 1392
7, 235, 235, 545, 745, 963, 1180, 1404
8, 429, 429, 657, 1247, 1433, 3402, 3601
9, 559, 559, 1288, 1531, 1774, 2001, 2262
10, 518, 518, 778, 1045, 1255, 1462, 1662
12, 312, 312, 615, 819, 1033, 1237, 1462
11, 261, 261, 498, 712, 965, 1149, 1378
13, 276, 276, 485, 790, 1013, 1474, 1687
14, 1413, 1413, 1956, 2184, 2399, 2909, 6364
15, 411, 411, 620, 799, 981, 1166, 1342
16, 485, 485, 747, 1016, 1256, 1482, 1717
17, 394, 394, 642, 897, 1156, 1403, 1647
18, 599, 599, 1297, 1899, 2098, 2289, 2491
19, 481, 481, 847, 1074, 1308, 1505, 1699
20, 302, 302, 543, 765, 990, 1222, 1445
21, 317, 317, 551, 759, 982, 1196, 1438
22, 489, 489, 814, 1201, 1536, 1739, 1992
23, 598, 598, 1167, 1366, 1572, 1776, 1973
24, 508, 508, 753, 983, 1262, 1484, 1686
25, 313, 313, 645, 858, 1099, 1325, 1582
26, 1559, 1559, 2106, 2326, 2524, 2715, 2927
27, 583, 583, 846, 1078, 1281, 1482, 1680
28, 497, 497, 757, 960, 1155, 1346, 1536
29, 348, 348, 689, 903, 1141, 1377, 1579
30, 290, 290, 588, 812, 1061, 1297, 1535
31, 590, 590, 895, 1153, 1551, 1807, 2023
32, 625, 625, 844, 1136, 1325, 1509, 1689
33, 349, 349, 552, 742, 928, 1114, 1298
34, 230, 230, 438, 617, 793, 961, 1136
35, 433, 433, 652, 840, 1027, 1212, 1391
36, 432, 432, 655, 845, 1029, 1217, 1400
1, 3266, 3266, 4890, 6328, 7608, 8953, 10308
2, 440, 440, 676, 866, 1054, 1241, 1422
3, 446, 446, 684, 876, 1064, 1252, 1443
4, 438, 438, 650, 841, 1033, 1222, 1412
5, 469, 469, 679, 872, 2737, 2927, 3118
6, 335, 335, 572, 806, 1006, 1202, 1401
7, 425, 425, 640, 826, 1010, 1193, 1372
8, 409, 409, 625, 810, 992, 1174, 1349
9, 420, 420, 635, 823, 1012, 1196, 1385
10, 555, 555, 882, 1083, 1305, 1527, 1732
11, 332, 332, 654, 893, 1135, 1373, 1600
12, 336, 336, 609, 853, 1110, 1354, 1588
13, 275, 275, 501, 703, 926, 1147, 1354
14, 488, 488, 702, 927, 1162, 1403, 1614
15, 341, 341, 1105, 1355, 1595, 1908, 2143
16, 335, 335, 669, 888, 1126, 1352, 1600
17, 534, 534, 759, 1057, 1287, 1502, 1713
18, 310, 310, 538, 748, 969, 1182, 1412
1, 3397, 3397, 5028, 6331, 7622, 8814, 10072
2, 2808, 2808, 4606, 6091, 7422, 8630, 9808
3, 751, 751, 1051, 1466, 1748, 1982, 2216
4, 2930, 2930, 4597, 6128, 7536, 8780, 10138
5, 2199, 2199, 3766, 5090, 6432, 7682, 9105
6, 1522, 1522, 2292, 2832, 3303, 4340, 4739
7, 808, 808, 1400, 1845, 2269, 2694, 3102
8, 653, 653, 956, 1196, 1419, 1630, 1840
9, 388, 388, 612, 800, 987, 1169, 1350
10, 468, 468, 699, 898, 1093, 1282, 1477
11, 432, 432, 663, 860, 1051, 1242, 1427
12, 413, 413, 631, 815, 996, 1172, 1351
13, 420, 420, 651, 861, 1046, 1228, 1408
14, 461, 461, 677, 872, 1065, 1257, 1446
15, 516, 516, 737, 939, 1138, 1333, 1531
16, 1762, 1762, 1960, 2164, 2363, 2551, 2741
17, 322, 322, 627, 867, 1092, 1317, 1563
18, 303, 303, 542, 780, 1045, 1278, 1906
19, 287, 287, 526, 776, 1019, 1268, 1523
18, 776, 776, 1150, 1350, 1551, 1745, 1958
1, 3900, 3900, 6359, 8517, 10272, 11734, 13291
2, 607, 607, 1377, 1627, 1844, 2643, 2848
3, 556, 556, 812, 1028, 1402, 1621, 1855
2, 2801, 2801, 4334, 5612, 6864, 8031, 9197
3, 759, 759, 1027, 1503, 1737, 1994, 2242
2, 3051, 3051, 3736, 4141, 4550, 4933, 5325
1, 3869, 3869, 6064, 7828, 9453, 11244, 12845
2, 3231, 3231, 4756, 6075, 7406, 8633, 9914
3, 427, 427, 642, 840, 1030, 1221, 1405
4, 433, 433, 648, 840, 1032, 1223, 1406
3, 424, 424, 676, 872, 1064, 1255, 1439
4, 428, 428, 657, 853, 1048, 1243, 1431
5, 446, 446, 674, 869, 1065, 1256, 1445
6, 407, 407, 655, 874, 1068, 1258, 1445
7, 439, 439, 656, 849, 1044, 1232, 1418
6, 420, 420, 634, 823, 1017, 1208, 1396
7, 452, 452, 688, 881, 1071, 1260, 1447
8, 440, 440, 666, 859, 1053, 1241, 1429
9, 305, 305, 517, 714, 891, 1075, 1249
8, 222, 222, 412, 601, 800, 978, 1156
9, 412, 412, 636, 830, 1019, 1207, 1391
10, 426, 426, 655, 897, 1087, 1277, 2016
9, 414, 414, 632, 821, 1006, 1191, 1379
10, 433, 433, 659, 850, 1042, 1230, 1417
9, 440, 440, 663, 855, 1048, 1234, 1421
8, 630, 630, 1008, 1222, 1471, 1682, 1906
7, 443, 443, 666, 855, 1041, 1225, 1411
6, 404, 404, 634, 854, 1049, 1234, 1414
7, 269, 269, 550, 739, 943, 1133, 1348
6, 397, 397, 611, 793, 976, 1156, 1334
7, 277, 277, 508, 738, 930, 1137, 1384
6, 440, 440, 654, 844, 1033, 1218, 1406
7, 261, 261, 498, 698, 891, 1084, 1286
6, 445, 445, 661, 842, 1022, 1202, 1385
5, 2303, 2303, 3632, 4688, 5720, 6888, 7907
4, 648, 648, 895, 1106, 1350, 1597, 1812
5, 421, 421, 635, 827, 1018, 1209, 1393
4, 407, 407, 641, 819, 1025, 1200, 1398
5, 271, 271, 479, 671, 839, 1008, 1177
6, 420, 420, 645, 831, 1008, 1187, 1367
7, 402, 402, 610, 793, 976, 1158, 1343
8, 433, 433, 643, 829, 1013, 1199, 1379
9, 452, 452, 664, 847, 1033, 1215, 1392
10, 388, 388, 603, 787, 972, 1154, 1336
11, 1128, 1128, 1397, 1629, 1876, 2115, 2391
12, 413, 413, 633, 814, 998, 1179, 1526
13, 283, 283, 555, 774, 974, 1180, 1408
14, 390, 390, 633, 811, 1011, 1186, 1364
15, 246, 246, 496, 674, 848, 1014, 1184
16, 215, 215, 397, 985, 1175, 1343, 1517
17, 235, 235, 414, 589, 761, 925, 1094
18, 228, 228, 470, 666, 841, 1005, 1176
17, 441, 441, 669, 858, 1044, 1222, 1405
16, 781, 781, 2128, 2402, 2601, 2792, 2983
17, 252, 252, 530, 726, 911, 1088, 1267
16, 215, 215, 407, 886, 1059, 1221, 1394
17, 428, 428, 646, 832, 1018, 1202, 1391
18, 289, 289, 622, 862, 1085, 1313, 1545
17, 398, 398, 639, 833, 1018, 1199, 1387
18, 282, 282, 479, 670, 847, 1021, 1199
19, 405, 405, 641, 838, 1017, 1191, 1366
20, 285, 285, 498, 682, 850, 1012, 2162
21, 216, 216, 403, 576, 746, 910, 1078
22, 204, 204, 389, 566, 737, 902, 1075
23, 200, 200, 387, 560, 732, 899, 1067
24, 206, 206, 393, 827, 1009, 1172, 1364
1, 2991, 2991, 4452, 5893, 7244, 8591, 9975
2, 1810, 1810, 2070, 2275, 2464, 2658, 2842
3, 417, 417, 663, 861, 1052, 1367, 1552
4, 774, 774, 998, 1192, 1391, 1917, 2098
5, 450, 450, 674, 866, 1055, 1243, 1430
6, 211, 211, 413, 621, 800, 980, 1159
7, 399, 399, 633, 821, 1009, 1223, 1412
8, 513, 513, 810, 1043, 1343, 1548, 1774
9, 569, 569, 812, 1045, 1276, 1500, 1749
10, 326, 326, 617, 908, 1108, 1301, 1516
11, 283, 283, 545, 775, 990, 1216, 1421
12, 282, 282, 577, 768, 996, 1226, 1458
13, 891, 891, 1180, 1441, 1655, 1888, 2102
14, 344, 344, 528, 712, 901, 1083, 1261
15, 166, 166, 375, 558, 741, 905, 1075
16, 433, 433, 644, 830, 1019, 1208, 1391
17, 419, 419, 620, 800, 979, 1160, 1338
18, 460, 460, 684, 862, 1042, 1222, 1400
19, 441, 441, 680, 870, 1057, 1242, 1423
20, 444, 444, 658, 848, 1033, 1222, 1414
19, 1039, 1039, 1264, 1448, 1627, 1805, 1980
1, 2256, 2256, 3764, 4778, 5792, 10070, 11136
2, 972, 972, 1446, 1806, 2156, 2736, 3092
3, 449, 449, 687, 887, 1078, 1265, 1452
4, 594, 594, 868, 1088, 1314, 1583, 1807
5, 416, 416, 633, 813, 996, 1176, 1355
6, 440, 440, 712, 908, 1102, 1291, 1475
7, 456, 456, 670, 864, 1053, 1241, 1426
8, 427, 427, 651, 848, 1034, 1224, 1620
9, 425, 425, 652, 841, 1026, 1209, 1382
10, 427, 427, 650, 846, 1036, 1229, 1416
11, 528, 528, 782, 1009, 1212, 1413, 1614
12, 424, 424, 684, 908, 1170, 1391, 1615
13, 297, 297, 1054, 1268, 1487, 1691, 1923
14, 2554, 2554, 4555, 4751, 4949, 5139, 7837
15, 372, 372, 647, 866, 1070, 1299, 1548
16, 971, 971, 1338, 1569, 1793, 1999, 2442
17, 333, 333, 593, 782, 969, 1140, 1411
18, 438, 438, 667, 854, 1039, 3521, 3706
19, 406, 406, 641, 827, 1007, 1186, 1367
20, 435, 435, 659, 847, 1027, 1204, 1379
21, 209, 209, 402, 575, 750, 915, 1084
22, 587, 587, 876, 1067, 1257, 1446, 1629
23, 273, 273, 623, 854, 1063, 1276, 1490
24, 214, 214, 395, 1082, 1266, 1433, 1603
25, 238, 238, 438, 665, 903, 1155, 1389
26, 209, 209, 448, 641, 812, 975, 1141
27, 217, 217, 392, 566, 736, 899, 1067
28, 411, 411, 621, 963, 1152, 1334, 1511
29, 309, 309, 532, 720, 912, 1105, 1300
30, 408, 408, 639, 852, 1033, 1217, 1394
31, 419, 419, 637, 822, 1005, 1186, 1365
32, 409, 409, 624, 812, 994, 1177, 1352
33, 219, 219, 451, 623, 795, 965, 1134
34, 190, 190, 367, 544, 717, 878, 1054
1, 2112, 2112, 3285, 4208, 5044, 5815, 6753
2, 1348, 1348, 2370, 2910, 3664, 4159, 4860
3, 450, 450, 701, 899, 1097, 1296, 1490
2, 2187, 2187, 3414, 4245, 5099, 6027, 6981
1, 477, 477, 704, 893, 1076, 1261, 1446
2, 635, 635, 878, 1092, 1298, 1546, 1754
3, 448, 448, 696, 902, 1093, 1284, 1482
4, 323, 323, 554, 762, 962, 1182, 1375
5, 433, 433, 692, 897, 1081, 1268, 1454
6, 446, 446, 669, 859, 1052, 1242, 1429
7, 449, 449, 696, 882, 1063, 1242, 1421
8, 412, 412, 627, 813, 998, 1179, 1355
9, 291, 291, 494, 689, 860, 1033, 1201
10, 237, 237, 408, 604, 776, 946, 1326
11, 189, 189, 381, 569, 738, 911, 1075
12, 385, 385, 613, 812, 993, 1168, 1340
13, 260, 260, 465, 632, 799, 962, 1166
1, 2956, 2956, 4450, 5672, 6939, 8166, 9392
2, 475, 475, 905, 1097, 1285, 2159, 2346
3, 456, 456, 717, 904, 1089, 1275, 1459
4, 416, 416, 627, 815, 1007, 1192, 1374
5, 416, 416, 627, 820, 1010, 1195, 1543
6, 431, 431, 645, 835, 1028, 1215, 1404
7, 260, 260, 502, 711, 887, 1068, 1246
8, 392, 392, 607, 788, 970, 1261, 1440
9, 415, 415, 634, 824, 1009, 1191, 1371
10, 444, 444, 694, 877, 1059, 1241, 1418
11, 382, 382, 606, 781, 965, 1132, 1299
12, 471, 471, 760, 989, 1216, 1462, 1699
13, 416, 416, 654, 866, 1115, 1328, 1538
14, 400, 400, 664, 920, 1116, 1334, 1547
15, 970, 970, 1552, 1998, 2236, 2440, 2670
14, 453, 453, 766, 989, 1191, 1419, 1606
1, 351, 351, 550, 738, 921, 1104, 1285
2, 442, 442, 669, 864, 1056, 1251, 1439
3, 1101, 1101, 1471, 1789, 2184, 2530, 2793
4, 530, 530, 779, 1641, 1860, 2085, 2288
5, 444, 444, 658, 848, 1037, 1387, 1578
6, 441, 441, 676, 858, 1041, 1225, 1402
7, 432, 432, 647, 839, 1031, 1217, 1419
8, 604, 604, 866, 1106, 1366, 1606, 1850
9, 417, 417, 646, 848, 1042, 1224, 1406
10, 504, 504, 729, 908, 1082, 1255, 1433
11, 242, 242, 444, 627, 796, 959, 1127
12, 454, 454, 684, 875, 1067, 1258, 1451
13, 409, 409, 641, 847, 1051, 1237, 1419
14, 515, 515, 824, 1072, 1335, 1593, 1828
15, 554, 554, 833, 1071, 1838, 2076, 2285
16, 379, 379, 669, 929, 1188, 1392, 1598
17, 311, 311, 602, 844, 1090, 1306, 1518
18, 438, 438, 677, 876, 1069, 1262, 1453
19, 419, 419, 633, 823, 1014, 1201, 1385
1, 2508, 2508, 4050, 5253, 6472, 7692, 8844
2, 423, 423, 653, 851, 1043, 1231, 1426
3, 529, 529, 825, 1225, 1443, 1654, 1878
4, 732, 732, 963, 1160, 1357, 1553, 1742
5, 432, 432, 672, 866, 1059, 1251, 1443
6, 443, 443, 2030, 2249, 2444, 2635, 2836
7, 218, 218, 411, 621, 802, 977, 1161
8, 431, 431, 659, 844, 1030, 1235, 1414
9, 425, 425, 649, 2557, 2745, 2932, 3116
10, 455, 455, 719, 918, 1117, 2560, 2998
11, 433, 433, 649, 846, 1041, 1235, 1427
12, 456, 456, 735, 928, 1116, 1303, 1490
13, 419, 419, 638, 817, 1005, 1185, 1361
14, 1550, 1550, 2473, 2681, 2893, 3095, 7436
15, 465, 465, 690, 890, 1066, 1236, 1419
16, 435, 435, 661, 854, 1047, 1241, 1429
17, 516, 516, 827, 1085, 1313, 1548, 1821
18, 358, 358, 625, 896, 1140, 1389, 1636
19, 320, 320, 647, 889, 1132, 1388, 1650
20, 402, 402, 774, 961, 1156, 1349, 1689
1, 2994, 2994, 4561, 5892, 7144, 8453, 9861
2, 1464, 1464, 1698, 1894, 2087, 2276, 2468
3, 418, 418, 642, 832, 1021, 1852, 2042
4, 423, 423, 676, 864, 1060, 1250, 1434
5, 398, 398, 627, 819, 1008, 1195, 1380
6, 422, 422, 636, 827, 1017, 1200, 1384
7, 438, 438, 665, 852, 1045, 1230, 1415
8, 430, 430, 662, 852, 1046, 1234, 1414
9, 397, 397, 616, 803, 986, 1167, 1350
10, 442, 442, 677, 1454, 1644, 1834, 2024
11, 445, 445, 672, 869, 1059, 1250, 1435
12, 349, 349, 599, 842, 1073, 1301, 1542
13, 447, 447, 692, 878, 1064, 1250, 1434
14, 419, 419, 640, 828, 1014, 1194, 1376
15, 413, 413, 1207, 1410, 1598, 1780, 1960
16, 417, 417, 651, 844, 1031, 1212, 1393
17, 419, 419, 640, 828, 1016, 1203, 1386
1, 3530, 3530, 5717, 7458, 9256, 10872, 12625
2, 2766, 2766, 4325, 5822, 7030, 8169, 9283
3, 555, 555, 817, 1031, 1258, 1458, 1690
4, 273, 273, 532, 740, 938, 1146, 1367
5, 2922, 2922, 4592, 6125, 7506, 8832, 10167
6, 1374, 1374, 3655, 3893, 4116, 4321, 4582
7, 752, 752, 1247, 1796, 2003, 2197, 2400
8, 1144, 1144, 1397, 1615, 1821, 2034, 2242
9, 427, 427, 675, 1403, 1681, 1925, 2130
10, 1357, 1357, 2028, 2368, 2662, 3350, 3544
11, 557, 557, 894, 1148, 1394, 1628, 1878
12, 504, 504, 804, 1006, 1200, 1390, 1587
13, 327, 327, 567, 822, 1054, 1272, 1492
14, 290, 290, 596, 820, 1022, 1254, 1472
15, 281, 281, 519, 757, 994, 1204, 1413
16, 396, 396, 601, 778, 952, 1125, 1302
17, 223, 223, 416, 605, 776, 950, 1119
18, 195, 195, 409, 590, 756, 919, 1119
19, 188, 188, 370, 566, 749, 924, 1101
20, 326, 326, 501, 686, 857, 1022, 1189
21, 163, 163, 360, 545, 734, 900, 1069
1, 374, 374, 604, 796, 985, 1171, 1359
2, 429, 429, 651, 839, 1026, 1271, 1456
3, 445, 445, 1053, 1247, 1859, 2149, 2334
4, 435, 435, 676, 867, 1053, 1239, 1428
5, 431, 431, 676, 870, 1056, 1250, 1434
6, 235, 235, 436, 615, 798, 972, 1148
7, 405, 405, 623, 809, 993, 1171, 1354
