length , start  , read   , filter , measure , tagging , sort   , end
2, 589, 589, 845, 1058, 1256, 1662, 1860
3, 505, 505, 758, 965, 1171, 2301, 2978
4, 663, 663, 945, 1251, 1476, 1699, 1942
5, 255, 255, 460, 660, 845, 1028, 1207
6, 421, 421, 626, 807, 992, 1170, 1350
7, 327, 327, 544, 734, 908, 1075, 1246
8, 397, 397, 614, 806, 988, 1168, 1348
9, 2168, 2168, 6299, 7296, 8151, 8980, 9814
10, 493, 493, 748, 936, 3790, 3988, 4165
11, 1480, 1480, 2282, 3105, 3776, 4470, 5071
12, 433, 433, 658, 849, 1040, 1224, 1403
13, 644, 644, 920, 1140, 1349, 1551, 1767
14, 1328, 1328, 1913, 2197, 2569, 2766, 2962
15, 410, 410, 814, 1005, 1194, 1376, 1559
16, 436, 436, 663, 861, 1057, 1247, 1436
1, 2756, 2756, 4426, 5726, 6934, 8249, 9667
2, 692, 692, 935, 1125, 1317, 1563, 1750
3, 436, 436, 659, 853, 1048, 1239, 1423
4, 432, 432, 674, 863, 1052, 1236, 1430
5, 439, 439, 690, 882, 1073, 1262, 1452
6, 371, 371, 605, 848, 1082, 1271, 1509
7, 452, 452, 669, 864, 1057, 1245, 1431
8, 427, 427, 643, 830, 1018, 1204, 1382
9, 1136, 1136, 1638, 1859, 2113, 2337, 2548
10, 482, 482, 748, 947, 1149, 1357, 2059
11, 399, 399, 661, 894, 1125, 1361, 1586
12, 484, 484, 786, 1006, 1231, 1445, 1654
13, 375, 375, 679, 929, 1154, 1387, 1623
14, 319, 319, 653, 985, 1226, 1473, 1699
15, 544, 544, 827, 1049, 1253, 1486, 1695
14, 533, 533, 970, 1263, 1477, 1713, 1968
13, 365, 365, 623, 871, 1105, 1363, 1591
1, 2718, 2718, 4500, 5894, 7235, 8608, 9949
2, 754, 754, 983, 1174, 1368, 1846, 2032
3, 438, 438, 670, 865, 1058, 1370, 1562
4, 2819, 2819, 4164, 5625, 6763, 8005, 9130
5, 489, 489, 747, 961, 1175, 1388, 1614
6, 492, 492, 799, 1042, 1288, 1518, 1731
7, 624, 624, 1692, 1983, 2346, 2667, 2916
8, 635, 635, 894, 1131, 1387, 1615, 1834
9, 598, 598, 862, 1113, 1347, 1597, 1855
10, 1226, 1226, 1640, 2908, 4010, 4364, 5030
11, 453, 453, 762, 1018, 1260, 1486, 1738
12, 344, 344, 655, 877, 1118, 1563, 1828
13, 317, 317, 546, 801, 1072, 1333, 1563
14, 1807, 1807, 2057, 2256, 2457, 2649, 2849
15, 2139, 2139, 2445, 3245, 3448, 3653, 3880
16, 3024, 3024, 3588, 4222, 4455, 5299, 5646
17, 730, 730, 1085, 1315, 1517, 1710, 2290
18, 383, 383, 678, 923, 1131, 1356, 1591
19, 308, 308, 697, 943, 1202, 1429, 1653
20, 334, 334, 571, 806, 1026, 1262, 1479
21, 459, 459, 725, 974, 1187, 1391, 1600
22, 409, 409, 675, 889, 1090, 1289, 1492
23, 452, 452, 676, 871, 1061, 1251, 1437
24, 427, 427, 1263, 1472, 1669, 1863, 2051
25, 439, 439, 675, 869, 1057, 1243, 1429
26, 433, 433, 638, 1697, 1886, 2070, 2255
27, 1668, 1668, 2577, 2790, 2989, 3212, 3413
28, 394, 394, 615, 805, 990, 1173, 1352
29, 412, 412, 623, 815, 1006, 1192, 1377
30, 428, 428, 638, 822, 1008, 1191, 1368
1, 2676, 2676, 4150, 5575, 6820, 8019, 9173
2, 685, 685, 966, 1173, 1381, 1581, 1793
3, 554, 554, 839, 1066, 1291, 1506, 1741
4, 814, 814, 1066, 1290, 1531, 1736, 1968
5, 451, 451, 661, 1574, 1774, 1963, 2147
6, 444, 444, 692, 892, 1079, 1271, 1460
7, 417, 417, 635, 829, 1022, 1215, 1400
8, 450, 450, 677, 869, 1060, 1251, 1436
9, 38172, 38172, 38533, 38795, 38996, 39214, 39424
10, 576, 576, 845, 1236, 1512, 1747, 2247
11, 421, 421, 629, 816, 998, 1181, 1362
12, 586, 586, 818, 1015, 1210, 2316, 2507
13, 419, 419, 1398, 1587, 1922, 2685, 6954
14, 427, 427, 647, 834, 1020, 1201, 1378
15, 226, 226, 439, 619, 796, 968, 1147
16, 209, 209, 394, 576, 776, 952, 1129
17, 775, 775, 1748, 1938, 2124, 2303, 2482
18, 734, 734, 1030, 1220, 1392, 1556, 1748
19, 434, 434, 656, 1366, 1568, 1917, 2099
20, 475, 475, 775, 996, 1236, 1473, 1715
21, 349, 349, 607, 889, 1147, 1379, 1626
22, 324, 324, 641, 893, 1117, 1322, 1534
23, 843, 843, 1810, 2025, 2225, 2410, 2601
24, 506, 506, 887, 1113, 1330, 1546, 1763
25, 421, 421, 658, 871, 1085, 1328, 1560
26, 309, 309, 541, 764, 1012, 1240, 1469
27, 262, 262, 560, 794, 1028, 1269, 1484
28, 2906, 2906, 4520, 6009, 8125, 9309, 10581
1, 872, 872, 1186, 1743, 1977, 2366, 2616
2, 448, 448, 678, 876, 1072, 1264, 1449
3, 1868, 1868, 2209, 2712, 3301, 3615, 4014
4, 427, 427, 658, 857, 1050, 1242, 1433
5, 447, 447, 673, 870, 1066, 1259, 1446
6, 416, 416, 644, 835, 1024, 1210, 1394
7, 412, 412, 639, 829, 1057, 1251, 1442
8, 494, 494, 788, 990, 1197, 1406, 1607
9, 405, 405, 621, 807, 990, 1166, 1346
10, 425, 425, 651, 842, 1034, 1221, 1411
11, 393, 393, 611, 797, 983, 1164, 1347
12, 658, 658, 3285, 4041, 4515, 4699, 5038
13, 401, 401, 609, 790, 978, 1158, 1340
14, 237, 237, 519, 1059, 1259, 1444, 1634
15, 235, 235, 417, 592, 767, 935, 1107
16, 213, 213, 395, 572, 747, 932, 1107
17, 427, 427, 649, 832, 1021, 1198, 1379
18, 265, 265, 497, 697, 895, 1085, 1280
19, 663, 663, 886, 1073, 1259, 1447, 1632
20, 408, 408, 650, 843, 1026, 1204, 1382
21, 440, 440, 665, 862, 1056, 1246, 1443
22, 494, 494, 726, 906, 1081, 1263, 1438
23, 598, 598, 957, 1257, 1479, 1693, 1945
24, 319, 319, 657, 878, 1117, 1306, 1541
25, 307, 307, 563, 832, 1075, 1314, 1540
26, 417, 417, 651, 842, 1025, 1204, 1389
27, 416, 416, 652, 863, 1047, 1229, 1410
28, 290, 290, 644, 861, 1067, 1267, 1453
29, 421, 421, 631, 818, 1608, 1812, 1999
30, 501, 501, 774, 1005, 1247, 2172, 2437
31, 18590, 18590, 19037, 19410, 19624, 19820, 20030
32, 407, 407, 668, 875, 1105, 1339, 1571
1, 2851, 2851, 4759, 6151, 7625, 9018, 10328
2, 581, 581, 832, 1241, 1448, 1673, 1902
3, 479, 479, 758, 972, 1178, 1381, 1611
4, 281, 281, 491, 691, 919, 1126, 1535
5, 445, 445, 693, 888, 1086, 1272, 1460
6, 419, 419, 646, 840, 1031, 1220, 1407
7, 453, 453, 694, 886, 1076, 1264, 1453
8, 449, 449, 675, 865, 1059, 1243, 1436
9, 447, 447, 686, 903, 1097, 1285, 1476
10, 416, 416, 646, 837, 1027, 1213, 1393
11, 396, 396, 618, 804, 989, 1178, 1367
12, 272, 272, 454, 630, 806, 976, 1161
13, 193, 193, 366, 541, 710, 873, 1044
14, 429, 429, 635, 822, 1008, 1190, 1373
15, 275, 275, 525, 732, 919, 1111, 1306
16, 236, 236, 430, 605, 776, 941, 1114
17, 224, 224, 416, 619, 796, 965, 1135
18, 366, 366, 701, 900, 1087, 1268, 1496
19, 227, 227, 443, 646, 824, 1005, 1183
20, 230, 230, 541, 734, 932, 1104, 1298
21, 439, 439, 657, 851, 1048, 1236, 1969
22, 274, 274, 485, 673, 852, 1032, 1213
23, 437, 437, 649, 837, 1030, 1222, 1404
24, 415, 415, 642, 821, 998, 1203, 1377
25, 192, 192, 408, 610, 782, 947, 1119
26, 230, 230, 403, 574, 846, 1038, 1210
27, 427, 427, 637, 823, 1010, 1193, 1375
28, 211, 211, 419, 589, 761, 925, 1094
29, 415, 415, 633, 814, 997, 1180, 1362
30, 222, 222, 438, 629, 804, 976, 1152
31, 429, 429, 660, 843, 1026, 1205, 2005
32, 450, 450, 695, 891, 1088, 1281, 2102
33, 440, 440, 657, 851, 1043, 1856, 2063
1, 2530, 2530, 3944, 5046, 6184, 7177, 8171
2, 1795, 1795, 2974, 3920, 4990, 5809, 6523
3, 545, 545, 800, 1024, 1240, 1445, 1645
4, 465, 465, 750, 1018, 1276, 1499, 1750
5, 366, 366, 627, 897, 1160, 1405, 1659
6, 28806, 28806, 29236, 29554, 29830, 30134, 30373
7, 412, 412, 635, 822, 1007, 1190, 1370
8, 424, 424, 654, 844, 1032, 1214, 1395
9, 410, 410, 632, 821, 1007, 1196, 1377
10, 425, 425, 631, 816, 1005, 1191, 1368
11, 683, 683, 987, 1218, 1425, 3028, 3440
12, 342, 342, 869, 1154, 1406, 1651, 1903
13, 438, 438, 655, 849, 1044, 1234, 1418
14, 303, 303, 606, 808, 1010, 1206, 1403
15, 199, 199, 402, 585, 762, 933, 1108
16, 212, 212, 412, 591, 769, 942, 1140
17, 617, 617, 837, 1023, 1210, 1393, 1570
18, 250, 250, 502, 703, 896, 1099, 1302
19, 218, 218, 404, 591, 761, 927, 1095
20, 193, 193, 377, 567, 741, 906, 1075
21, 201, 201, 385, 572, 742, 905, 1073
22, 414, 414, 741, 930, 1110, 1287, 1463
23, 290, 290, 724, 907, 1081, 1247, 1420
24, 431, 431, 653, 840, 1028, 1217, 1401
25, 305, 305, 562, 793, 1017, 1223, 1447
26, 427, 427, 660, 865, 1050, 1233, 1410
27, 277, 277, 534, 839, 1046, 1264, 1463
28, 403, 403, 637, 823, 1002, 1184, 1384
29, 418, 418, 663, 847, 2151, 2339, 2564
30, 426, 426, 738, 953, 1207, 2266, 2511
31, 327, 327, 573, 824, 1058, 1255, 2038
32, 327, 327, 759, 981, 1214, 1419, 1985
1, 2774, 2774, 4494, 5985, 7435, 8827, 10194
2, 829, 829, 1098, 1313, 1552, 1784, 2327
3, 508, 508, 772, 1044, 1309, 1534, 1763
4, 392, 392, 692, 942, 1183, 1559, 1774
5, 456, 456, 1222, 1490, 1738, 1971, 2242
6, 559, 559, 12665, 12990, 13217, 14002, 14264
7, 506, 506, 767, 988, 1245, 1481, 1697
8, 427, 427, 664, 855, 1041, 1228, 1408
9, 678, 678, 957, 1169, 1380, 2310, 2539
10, 540, 540, 959, 1212, 1464, 1708, 1958
11, 502, 502, 755, 988, 1247, 1451, 1653
12, 392, 392, 644, 904, 1155, 1401, 1632
13, 317, 317, 576, 810, 1045, 1306, 1548
14, 485, 485, 788, 1040, 1278, 1486, 1900
15, 319, 319, 568, 809, 1032, 1245, 1467
16, 377, 377, 647, 867, 1104, 1324, 1571
